variable,non_missing_rows,missing_rows,sd
cases,33488,0,51.14089879586951
rainfall,33488,0,17.538886667215458
humidity,31592,1896,8.093991625662229
temperature,31591,1897,3.0273455495919497
idhm,33488,0,0.043632710973239223
population,33488,0,713949.6398860107
rainfall_lag,32844,644,17.37172910906506
humidity_lag,30949,2539,8.151916632424845
temperature_lag,30948,2540,3.043665081513654
log_cases_lag,33028,460,1.1348925387721158
neighbor_log_cases_lag,33488,0,1.4621624071140589
distance_log_cases_lag,33488,0,0.9613359669551512
adjacency_degree,33488,0,10.477312248999407
road_connectivity_log,33488,0,1.953584080356835
fluvial_connectivity_log,33488,0,0.5485059593684994
total_connectivity_log,33488,0,1.9293545415876623
air_passenger_week_lag_log,33488,0,1.524450485420483
hub_density_2022_log,33488,0,1.5144310885072059
hub_population_2022_log,33488,0,1.339154135186631
