,cases,rainfall,humidity,temperature,idhm,population,rainfall_lag,humidity_lag,temperature_lag,log_cases_lag,neighbor_log_cases_lag,distance_log_cases_lag,adjacency_degree,road_connectivity_log,fluvial_connectivity_log,total_connectivity_log,air_passenger_week_lag_log,hub_density_2022_log,hub_population_2022_log
cases,1.0,0.013494551854807996,0.022034457709275368,0.011167166303208229,0.16706097354603,0.508450810264966,0.049407966364921715,0.019938405028788176,0.041214710541514044,0.43084500369418993,0.05174498403311277,0.12715002561067298,0.30082684261353726,0.11911864603565374,0.009142012256309364,0.1199952234052104,0.3450413552263667,0.16598362127921248,0.2654268371834991
rainfall,0.013494551854807996,1.0,0.005567862608639049,0.5521056004264746,0.06310167719537865,0.02152563893354969,0.6691127591548405,-0.03358250254577524,0.3192938236694285,-0.03636705083262495,-0.09828847796206153,-0.13895892273276939,0.016126910842446843,0.052235191446809236,0.07699601548561807,0.05584814695684458,0.012184477316507519,-0.008384152362511254,0.039410568807682865
humidity,0.022034457709275368,0.005567862608639049,1.0,-0.4026397731605299,0.007043882996922112,0.0005518736383160593,0.057862800830329394,0.5134155031776355,-0.1600265247566194,0.06940544598667099,0.12808184989045265,0.216319101022332,0.06262382859880257,0.0249760312262069,0.004223596744644087,0.028691895790659488,0.006624857014666468,0.05024432663468945,0.032567663541883535
temperature,0.011167166303208229,0.5521056004264746,-0.4026397731605299,1.0,-0.029264249571829114,-0.005106295114015065,0.5141398820874348,-0.294975534092318,0.6267489500652789,-0.07353784424665566,-0.07579593324544955,-0.21180444431844841,0.040917106371526395,0.07734720928930136,-0.0659477679021544,0.07676301942396506,0.027967250382930717,-0.10714366194730444,-0.06929058305069938
idhm,0.16706097354603,0.06310167719537865,0.007043882996922112,-0.029264249571829114,1.0,0.31041646129229566,0.06327054605186133,0.00450972621289849,-0.02956508961629248,0.3603241613241971,0.0607574910219304,0.11227075543884954,0.45678729432701615,0.1984664117381368,0.12045821814352835,0.20961005444799535,0.241689388543813,0.4914001668448928,0.5246220965407361
population,0.508450810264966,0.02152563893354969,0.0005518736383160593,-0.005106295114015065,0.31041646129229566,1.0,0.021083444575714184,-0.0015107825599482319,-0.005153746240292776,0.4395045576597023,-0.11004268132716581,0.047385873400196434,0.5619485415574953,0.17235644387691296,-0.013092250311975338,0.17300635804604353,0.7702075162744851,0.40362687519756024,0.5641637872185292
rainfall_lag,0.049407966364921715,0.6691127591548405,0.057862800830329394,0.5141398820874348,0.06327054605186133,0.021083444575714184,1.0,0.0038449951660445903,0.5584629393824585,0.06838116968315665,0.06647851314856755,0.10030432396371838,0.015605917589298673,0.05206167469859251,0.07955678341859526,0.05582145800974708,0.013121709431067621,-0.009231324313526357,0.03789536657678638
humidity_lag,0.019938405028788176,-0.03358250254577524,0.5134155031776355,-0.294975534092318,0.00450972621289849,-0.0015107825599482319,0.0038449951660445903,1.0,-0.41493412901976706,0.06194932089292199,0.1278332016177031,0.21168787497467656,0.06228970215961694,0.025608936474052317,0.0020768766957579895,0.029098348062028725,0.0035524149990423595,0.04424822866538855,0.026492844775269933
temperature_lag,0.041214710541514044,0.3192938236694285,-0.1600265247566194,0.6267489500652789,-0.02956508961629248,-0.005153746240292776,0.5584629393824585,-0.41493412901976706,1.0,0.03095561833917829,0.079466317536139,0.014637570066800977,0.040912686666932804,0.07879253067617535,-0.06456685784608639,0.07836594424961021,0.027996426444203908,-0.10962030814165392,-0.07064979056276316
log_cases_lag,0.43084500369418993,-0.03636705083262495,0.06940544598667099,-0.07353784424665566,0.3603241613241971,0.4395045576597023,0.06838116968315665,0.06194932089292199,0.03095561833917829,1.0,0.19483740278762207,0.42188184855324046,0.3871140504058372,0.1371211221581362,0.0691169327318731,0.13868618760684961,0.3353159508485568,0.3551854827841085,0.519142628943312
neighbor_log_cases_lag,0.05174498403311277,-0.09828847796206153,0.12808184989045265,-0.07579593324544955,0.0607574910219304,-0.11004268132716581,0.06647851314856755,0.1278332016177031,0.079466317536139,0.19483740278762207,1.0,0.5295235197527306,0.03836409036657905,0.3430480871563607,0.004912992758353733,0.3448386715692836,-0.05585346679849543,-0.2819745001763252,-0.1727119252653057
distance_log_cases_lag,0.12715002561067298,-0.13895892273276939,0.216319101022332,-0.21180444431844841,0.11227075543884954,0.047385873400196434,0.10030432396371838,0.21168787497467656,0.014637570066800977,0.42188184855324046,0.5295235197527306,1.0,-0.07324671473071769,-0.1562572687711768,0.048327965962275725,-0.1554546381161011,-0.03383914491520698,0.2613523810440617,0.2059770000623483
adjacency_degree,0.30082684261353726,0.016126910842446843,0.06262382859880257,0.040917106371526395,0.45678729432701615,0.5619485415574953,0.015605917589298673,0.06228970215961694,0.040912686666932804,0.3871140504058372,0.03836409036657905,-0.07324671473071769,1.0,0.6368815088102123,-0.03729951259778138,0.640466901499424,0.5176044305002093,0.1929539220724103,0.46895466016169113
road_connectivity_log,0.11911864603565374,0.052235191446809236,0.0249760312262069,0.07734720928930136,0.1984664117381368,0.17235644387691296,0.05206167469859251,0.025608936474052317,0.07879253067617535,0.1371211221581362,0.3430480871563607,-0.1562572687711768,0.6368815088102123,1.0,-0.11567850641916282,0.9975385650789284,0.23179791747020467,-0.3065170888386115,-0.011892018990707265
fluvial_connectivity_log,0.009142012256309364,0.07699601548561807,0.004223596744644087,-0.0659477679021544,0.12045821814352835,-0.013092250311975338,0.07955678341859526,0.0020768766957579895,-0.06456685784608639,0.0691169327318731,0.004912992758353733,0.048327965962275725,-0.03729951259778138,-0.11567850641916282,1.0,-0.0660271508673462,-0.013755372714835573,-0.0009278436773847301,0.05906048337807538
total_connectivity_log,0.1199952234052104,0.05584814695684458,0.028691895790659488,0.07676301942396506,0.20961005444799535,0.17300635804604353,0.05582145800974708,0.029098348062028725,0.07836594424961021,0.13868618760684961,0.3448386715692836,-0.1554546381161011,0.640466901499424,0.9975385650789284,-0.0660271508673462,1.0,0.23349451878425925,-0.31188114603704076,-0.012905193583324545
air_passenger_week_lag_log,0.3450413552263667,0.012184477316507519,0.006624857014666468,0.027967250382930717,0.241689388543813,0.7702075162744851,0.013121709431067621,0.0035524149990423595,0.027996426444203908,0.3353159508485568,-0.05585346679849543,-0.03383914491520698,0.5176044305002093,0.23179791747020467,-0.013755372714835573,0.23349451878425925,1.0,0.21512405287538836,0.41449093634064516
hub_density_2022_log,0.16598362127921248,-0.008384152362511254,0.05024432663468945,-0.10714366194730444,0.4914001668448928,0.40362687519756024,-0.009231324313526357,0.04424822866538855,-0.10962030814165392,0.3551854827841085,-0.2819745001763252,0.2613523810440617,0.1929539220724103,-0.3065170888386115,-0.0009278436773847301,-0.31188114603704076,0.21512405287538836,1.0,0.8016260921434504
hub_population_2022_log,0.2654268371834991,0.039410568807682865,0.032567663541883535,-0.06929058305069938,0.5246220965407361,0.5641637872185292,0.03789536657678638,0.026492844775269933,-0.07064979056276316,0.519142628943312,-0.1727119252653057,0.2059770000623483,0.46895466016169113,-0.011892018990707265,0.05906048337807538,-0.012905193583324545,0.41449093634064516,0.8016260921434504,1.0
