ibge_code,municipio_norm,mean_annual_cases,total_cases,population,years_observed,mean_weekly_rows_per_year,years_expected,mean_annual_incidence_per_100k,cumulative_incidence_per_100k
3303104,natividade,172.71428571428572,1209,9250,7,52.0,7,1867.1814671814673,13070.27027027027
3303807,paraty,726.2857142857143,5084,43680,7,52.0,7,1662.7420198848772,11639.19413919414
3304102,porciuncula,231.28571428571428,1619,18960,7,52.0,7,1219.8613622664257,8539.02953586498
3304201,resende,1506.7142857142858,10547,132312,7,52.0,7,1138.7586052015583,7971.310236410907
3301876,iguaba grande,310.85714285714283,2176,28837,7,52.0,7,1077.9801742800666,7545.861219960468
3305406,sapucaia,58.142857142857146,407,6009,7,52.0,7,967.5962247105532,6773.173572973873
3302858,mesquita,51.857142857142854,363,5546,7,52.0,7,935.0368347844005,6545.257843490804
3306156,varre sai,102.0,714,11106,7,52.0,7,918.4224743381956,6428.957320367369
3302056,italva,133.57142857142858,935,15299,7,52.0,7,873.072936606501,6111.510556245506
3302205,itaperuna,850.4285714285714,5953,103800,7,52.0,7,819.2953481970824,5735.067437379576
3304003,pirai,214.0,1498,29545,7,52.0,7,724.318835674395,5070.231849720764
3302452,macuco,39.714285714285715,278,5623,7,52.0,7,706.2828688295522,4943.980081806864
3300605,bom jesus do itabapoana,231.71428571428572,1622,37203,7,52.0,7,622.8376359817373,4359.863451872161
3300159,aperibe,71.42857142857143,500,11901,7,52.0,7,600.1896599325387,4201.32761952777
3305133,sao jose de uba,38.857142857142854,272,7206,7,52.0,7,539.2331787002894,3774.632250902026
3306206,vassouras,196.14285714285714,1373,37083,7,52.0,7,528.929313008271,3702.505191057897
3303005,miracema,138.57142857142858,970,27154,7,52.0,7,510.3168173065794,3572.2177211460557
3304151,quissama,127.57142857142857,893,25126,7,52.0,7,507.72677135806964,3554.087399506487
3304524,rio das ostras,768.1428571428571,5377,155193,7,52.0,7,494.9597321675959,3464.7181251731718
3305505,saquarema,430.14285714285717,3011,90583,7,52.0,7,474.86046735354,3324.02327147478
3304755,sao francisco de itabapoana,200.14285714285714,1401,42210,7,52.0,7,474.1598131790029,3319.118692253021
3300100,angra dos reis,898.7142857142857,6291,207044,7,52.0,7,434.0692247610583,3038.4845733274087
3303955,pinheiral,109.85714285714286,769,25364,7,52.0,7,433.122310586433,3031.8561741050307
3302254,itatiaia,135.42857142857142,948,32064,7,52.0,7,422.3695466210436,2956.5868263473053
3300233,armacao dos buzios,141.14285714285714,988,34477,7,52.0,7,409.3826526172728,2865.6785683209096
3301900,itaborai,962.4285714285714,6737,242543,7,52.0,7,396.8073996893629,2777.65179782554
3301306,casimiro de abreu,165.0,1155,45041,7,52.0,7,366.3328966941231,2564.330276858862
3304706,santo antonio de padua,151.0,1057,42594,7,52.0,7,354.5100248861342,2481.5701742029396
3301009,campos dos goytacazes,1782.7142857142858,12479,511168,7,52.0,7,348.7531077286305,2441.271754100413
3300936,carapebus,55.714285714285715,390,16586,7,52.0,7,335.9115260719023,2351.380682503316
3306305,volta redonda,899.7142857142857,6298,273988,7,52.0,7,328.3772594837313,2298.6408163861192
3306008,tres rios,262.85714285714283,1840,82142,7,52.0,7,320.0033391652782,2240.0233741569477
3302106,itaocara,73.71428571428571,516,23222,7,52.0,7,317.43297611870514,2222.0308328309366
3302601,mangaratiba,137.14285714285714,960,45220,7,52.0,7,303.2792064194099,2122.954444935869
3304128,quatis,43.714285714285715,306,14435,7,52.0,7,302.8353703795339,2119.847592656737
3301157,cardoso moreira,36.714285714285715,257,12821,7,52.0,7,286.3605468706475,2004.5238280945323
3301801,engenheiro paulo de frontin,39.0,273,14071,7,52.0,7,277.16580200412193,1940.1606140288536
3301108,cantagalo,12.428571428571429,87,4551,7,52.0,7,273.09539504661456,1911.6677653263018
3303401,nova friburgo,521.7142857142857,3652,191158,7,52.0,7,272.92307186426183,1910.4615030498333
3301207,carmo,43.0,301,19030,7,52.0,7,225.9590120861797,1581.713084603258
3304557,rio de janeiro,12963.42857142857,90744,6747815,7,52.0,7,192.11298133438112,1344.790869340668
3302809,mendes,35.714285714285715,250,18648,7,52.0,7,191.5180486609058,1340.6263406263406
3300308,barra do pirai,190.57142857142858,1334,100764,7,52.0,7,189.12650209541957,1323.8855146679368
3303856,paty do alferes,52.42857142857143,367,27858,7,52.0,7,188.19933745628342,1317.3953621939838
3302700,marica,303.42857142857144,2124,164504,7,52.0,7,184.45057349886414,1291.1540144920489
3304110,porto real,36.142857142857146,253,19974,7,52.0,7,180.94952009040324,1266.6466406328227
3305208,sao pedro da aldeia,191.57142857142858,1341,106049,7,52.0,7,180.64425743894668,1264.5098020726268
3301504,cordeiro,36.714285714285715,257,22041,7,52.0,7,166.57268596835766,1166.0088017785035
3300902,cambuci,24.714285714285715,173,15514,7,52.0,7,159.30311792114034,1115.1218254479825
3302304,laje do muriae,11.428571428571429,80,7326,7,52.0,7,156.000156000156,1092.001092001092
3302007,itaguai,208.0,1456,134819,7,52.0,7,154.28092479546652,1079.9664735682657
3306107,valenca,136.42857142857142,955,97233,7,52.0,7,140.3109761383187,982.1768329682309
3300258,arraial do cabo,41.57142857142857,291,30593,7,52.0,7,135.8854266382132,951.1979864674926
3305703,sumidouro,21.285714285714285,149,15667,7,52.0,7,135.86337068816167,951.0435948171315
3302403,macae,351.14285714285717,2458,261501,7,52.0,7,134.27973779941843,939.9581645959288
3300704,cabo frio,302.42857142857144,2117,230378,7,52.0,7,131.2749357267497,918.9245500872479
3302908,miguel pereira,33.285714285714285,233,25581,7,52.0,7,130.11889404524564,910.8322583167194
3301405,conceicao de macabu,30.428571428571427,213,23398,7,52.0,7,130.0477452285299,910.3342165997093
3303302,niteroi,610.8571428571429,4276,515317,7,52.0,7,118.54007200560875,829.7805040392612
3302270,japeri,124.42857142857143,871,105548,7,52.0,7,117.88813755691385,825.2169628983969
3305752,tangua,39.142857142857146,274,34610,7,52.0,7,113.096957939489,791.678705576423
3300407,barra mansa,201.28571428571428,1409,184833,7,52.0,7,108.90139438612925,762.3097607029048
3300225,areal,13.714285714285714,96,12669,7,52.0,7,108.25073576671966,757.7551503670377
3301850,guapimirim,66.28571428571429,464,61388,7,52.0,7,107.97829263979001,755.84804847853
3304508,rio das flores,9.714285714285714,68,9344,7,52.0,7,103.9628180039139,727.7397260273972
