municipio,year,week,date,cases,predicted_cases,municipio_norm,population,model,model_label,observed_incidence_per_100k,predicted_incidence_per_100k
angra dos reis,2017,13,2017-03-27,3,10.1003931246259,angra dos reis,207044,S6,S6 rainfall-region,1.4489673692548444,4.878380018076302
angra dos reis,2017,14,2017-04-03,10,7.8025691003565,angra dos reis,207044,S6,S6 rainfall-region,4.829891230849482,3.768556007590899
angra dos reis,2017,15,2017-04-10,10,13.2272150809134,angra dos reis,207044,S6,S6 rainfall-region,4.829891230849482,6.388601012786364
angra dos reis,2017,16,2017-04-17,14,10.2363566965167,angra dos reis,207044,S6,S6 rainfall-region,6.761847723189273,4.944048944435337
angra dos reis,2017,17,2017-04-24,10,4.96458907358059,angra dos reis,207044,S6,S6 rainfall-region,4.829891230849482,2.3978425231258043
angra dos reis,2017,18,2017-05-01,14,13.1014731675328,angra dos reis,207044,S6,S6 rainfall-region,6.761847723189273,6.3278690363076455
angra dos reis,2017,19,2017-05-08,12,12.7973191886514,angra dos reis,207044,S6,S6 rainfall-region,5.7958694770193775,6.18096597276492
angra dos reis,2017,20,2017-05-15,35,13.6459352305818,angra dos reis,207044,S6,S6 rainfall-region,16.904619307973185,6.590838290692703
angra dos reis,2017,21,2017-05-22,12,7.64765604541346,angra dos reis,207044,S6,S6 rainfall-region,5.7958694770193775,3.6937346870295498
angra dos reis,2017,22,2017-05-29,24,8.82307633242567,angra dos reis,207044,S6,S6 rainfall-region,11.591738954038755,4.2614499007098345
angra dos reis,2017,23,2017-06-05,12,6.94859793201778,angra dos reis,207044,S6,S6 rainfall-region,5.7958694770193775,3.3560972218551512
angra dos reis,2017,24,2017-06-12,0,14.0946618762515,angra dos reis,207044,S6,S6 rainfall-region,0.0,6.807568379789561
angra dos reis,2017,25,2017-06-19,10,5.81966420281831,angra dos reis,207044,S6,S6 rainfall-region,4.829891230849482,2.810834509968079
angra dos reis,2017,26,2017-06-26,24,8.46001554888412,angra dos reis,207044,S6,S6 rainfall-region,11.591738954038755,4.086095491240568
angra dos reis,2017,27,2017-07-03,7,6.71527362541558,angra dos reis,207044,S6,S6 rainfall-region,3.3809238615946366,3.2434041196149512
angra dos reis,2017,28,2017-07-10,13,0.682377109175107,angra dos reis,207044,S6,S6 rainfall-region,6.278858600104326,0.3295807215737268
angra dos reis,2017,29,2017-07-17,4,4.35092271128723,angra dos reis,207044,S6,S6 rainfall-region,1.9319564923397927,2.101448344935004
angra dos reis,2017,30,2017-07-24,8,7.66420523198096,angra dos reis,207044,S6,S6 rainfall-region,3.8639129846795854,3.701727764137555
angra dos reis,2017,31,2017-07-31,5,2.77797694428265,angra dos reis,207044,S6,S6 rainfall-region,2.414945615424741,1.341732648269281
angra dos reis,2017,32,2017-08-07,3,4.32357425352683,angra dos reis,207044,S6,S6 rainfall-region,1.4489673692548444,2.0882393373035826
angra dos reis,2017,33,2017-08-14,7,1.97496656112798,angra dos reis,207044,S6,S6 rainfall-region,3.3809238615946366,0.9538873674812988
angra dos reis,2017,34,2017-08-21,11,3.43486142988546,angra dos reis,207044,S6,S6 rainfall-region,5.312880353934429,1.6590007099386894
angra dos reis,2017,35,2017-08-28,2,2.38834546174799,angra dos reis,207044,S6,S6 rainfall-region,0.9659782461698964,1.153544880193577
angra dos reis,2017,36,2017-09-04,2,1.71372242828787,angra dos reis,207044,S6,S6 rainfall-region,0.9659782461698964,0.8277092928497662
angra dos reis,2017,37,2017-09-11,7,3.29558899000337,angra dos reis,207044,S6,S6 rainfall-region,3.3809238615946366,1.5917336363301375
angra dos reis,2017,38,2017-09-18,1,4.41195786600575,angra dos reis,207044,S6,S6 rainfall-region,0.4829891230849482,2.1309276607898564
angra dos reis,2017,39,2017-09-25,5,1.54406370400832,angra dos reis,207044,S6,S6 rainfall-region,2.414945615424741,0.7457659743862753
angra dos reis,2017,40,2017-10-02,5,1.67180042852342,angra dos reis,207044,S6,S6 rainfall-region,2.414945615424741,0.8074614229455671
angra dos reis,2017,41,2017-10-09,2,3.38960675318334,angra dos reis,207044,S6,S6 rainfall-region,0.9659782461698964,1.6371431933228393
angra dos reis,2017,42,2017-10-16,1,1.40166914191331,angra dos reis,207044,S6,S6 rainfall-region,0.4829891230849482,0.6769909497079413
angra dos reis,2017,43,2017-10-23,5,3.07259414192871,angra dos reis,207044,S6,S6 rainfall-region,2.414945615424741,1.4840295502060963
angra dos reis,2017,44,2017-10-30,3,3.20329579137414,angra dos reis,207044,S6,S6 rainfall-region,1.4489673692548444,1.5471570252575007
angra dos reis,2017,45,2017-11-06,4,2.09130421167972,angra dos reis,207044,S6,S6 rainfall-region,1.9319564923397927,1.0100771873030467
angra dos reis,2017,46,2017-11-13,1,1.41245627683798,angra dos reis,207044,S6,S6 rainfall-region,0.4829891230849482,0.6822010185458067
angra dos reis,2017,47,2017-11-20,7,4.35814488121951,angra dos reis,207044,S6,S6 rainfall-region,3.3809238615946366,2.1049365744573665
angra dos reis,2017,48,2017-11-27,1,3.0724917367922,angra dos reis,207044,S6,S6 rainfall-region,0.4829891230849482,1.483980089639014
