model,model_label,municipio_norm,observed_cases,predicted_cases,population,observed_incidence_per_100k,predicted_incidence_per_100k
S11,S11 rainfall space-time,angra dos reis,6096,8384.776589390376,207044,2944.301694325844,4049.75589217286
S11,S11 rainfall space-time,aperibe,498,440.27679070494986,11901,4184.522309049659,3699.494082051507
S11,S11 rainfall space-time,araruama,631,621.2004469584604,134293,469.8681241762415,462.570980586077
S11,S11 rainfall space-time,areal,39,44.14206303456094,12669,307.83802983660905,348.4257876277602
S11,S11 rainfall space-time,armacao dos buzios,981,876.4369806091755,34477,2845.3751776546683,2542.0917730927154
S11,S11 rainfall space-time,arraial do cabo,262,268.8808212212225,30593,856.4050599810415,878.8965489531021
S11,S11 rainfall space-time,barra do pirai,1081,1324.6401144650981,100764,1072.8037791274662,1314.596596468082
S11,S11 rainfall space-time,barra mansa,1241,1397.901427747881,184833,671.4169006616784,756.3051120459446
S11,S11 rainfall space-time,belford roxo,3064,3752.5562486942363,513118,597.1336027970175,731.324227311113
S11,S11 rainfall space-time,bom jardim,50,50.12714890933859,41822,119.55430156377025,119.85832554478166
S11,S11 rainfall space-time,bom jesus do itabapoana,1564,1474.283816836066,37203,4203.962046071553,3962.8089585142757
S11,S11 rainfall space-time,cabo frio,1842,2384.225515768981,230378,799.5555131132313,1034.918922713532
S11,S11 rainfall space-time,cachoeiras de macacu,420,362.4118700262584,59303,708.2272397686459,611.1189484954529
S11,S11 rainfall space-time,cambuci,173,162.52251300431323,15514,1115.1218254479825,1047.5861351315793
S11,S11 rainfall space-time,campos dos goytacazes,11515,14032.499710991391,511168,2252.6840490797545,2745.1835230279266
S11,S11 rainfall space-time,cantagalo,83,80.84026778499626,4551,1823.774994506702,1776.318782355444
S11,S11 rainfall space-time,carapebus,371,396.21510873671184,16586,2236.8262389967445,2388.852699485782
S11,S11 rainfall space-time,cardoso moreira,246,273.6353946763116,12821,1918.727088370642,2134.2749760261413
S11,S11 rainfall space-time,carmo,301,232.67188644117223,19030,1581.713084603258,1222.6583628017459
S11,S11 rainfall space-time,casimiro de abreu,1039,1012.3968386157461,45041,2306.787149486024,2247.722827236842
S11,S11 rainfall space-time,comendador levy gasparian,37,31.738035096962683,8576,431.4365671641791,370.07970029107605
S11,S11 rainfall space-time,conceicao de macabu,169,146.28782973201052,23398,722.2839558936661,625.2151027096783
S11,S11 rainfall space-time,cordeiro,214,214.84103357211833,22041,970.917834943968,974.7336036119882
S11,S11 rainfall space-time,duas barras,18,20.835732067338736,11528,156.1415683553088,180.74021571251507
S11,S11 rainfall space-time,duque de caxias,4795,6020.175575786555,924624,518.5891778712212,651.0944530735255
S11,S11 rainfall space-time,engenheiro paulo de frontin,185,199.86066589516463,14071,1314.7608556605785,1420.3728654336196
S11,S11 rainfall space-time,guapimirim,445,469.4728379578981,61388,724.8973740796247,764.7632077244708
S11,S11 rainfall space-time,iguaba grande,2137,2668.4488119821244,28837,7410.618302874779,9253.559010930832
S11,S11 rainfall space-time,itaborai,6277,5943.977724549894,242543,2587.9947060933528,2450.690279476173
S11,S11 rainfall space-time,itaguai,1378,1300.4155597550125,134819,1022.1111267699657,964.5640152760461
S11,S11 rainfall space-time,italva,920,966.1642724146072,15299,6013.464932348519,6315.2119250578935
S11,S11 rainfall space-time,itaocara,510,606.5183344312964,23222,2196.193265007321,2611.8264336891584
S11,S11 rainfall space-time,itaperuna,5828,7431.18856544494,103800,5614.643545279383,7159.141199850616
S11,S11 rainfall space-time,itatiaia,914,737.4982918021382,32064,2850.5489021956087,2300.08199788591
S11,S11 rainfall space-time,japeri,867,943.5833859512294,105548,821.4272179482322,893.9850929920316
S11,S11 rainfall space-time,laje do muriae,80,76.27391331306882,7326,1092.001092001092,1041.1399578633473
S11,S11 rainfall space-time,macae,2373,2910.1276144811372,261501,907.4535087819932,1112.8552527451661
S11,S11 rainfall space-time,macuco,231,133.01096353622032,5623,4108.127334163258,2365.480411456879
S11,S11 rainfall space-time,mage,1012,1261.5771305230599,246433,410.6592867026738,511.9351428270807
S11,S11 rainfall space-time,mangaratiba,936,955.3468857253185,45220,2069.880583812472,2112.6644974022965
S11,S11 rainfall space-time,marica,1888,1868.933230420329,164504,1147.6924573262656,1136.1019977753301
S11,S11 rainfall space-time,mendes,141,114.73353372263432,18648,756.1132561132562,615.2591898468164
S11,S11 rainfall space-time,mesquita,359,397.36496771211114,5546,6473.133790119005,7164.893034837922
S11,S11 rainfall space-time,miguel pereira,220,211.68552049205334,25581,860.0132911144991,827.5107325438933
S11,S11 rainfall space-time,miracema,966,784.2669684113478,27154,3557.4869264196805,2888.2189305860934
S11,S11 rainfall space-time,natividade,1179,1085.595154848604,9250,12745.945945945947,11736.163836201124
S11,S11 rainfall space-time,nilopolis,103,111.88090822187723,162693,63.309423269593644,68.7681143146154
S11,S11 rainfall space-time,niteroi,3554,3430.9265171408424,515317,689.6725704760371,665.789507650794
S11,S11 rainfall space-time,nova friburgo,3055,3912.0797091961103,191158,1598.1544063026397,2046.5163420814774
S11,S11 rainfall space-time,nova iguacu,4322,5601.671365773521,823302,524.9592494613155,680.3908366278134
S11,S11 rainfall space-time,paracambi,300,288.9094954595148,52683,569.4436535504813,548.3922621329742
S11,S11 rainfall space-time,paraiba do sul,224,293.80681353226606,44518,503.16725818769936,659.9730750084597
S11,S11 rainfall space-time,paraty,5059,7364.847945378557,43680,11581.959706959708,16860.91562586666
S11,S11 rainfall space-time,paty do alferes,363,366.8351339458867,27858,1303.0368296360111,1316.803553542561
S11,S11 rainfall space-time,petropolis,1275,1269.8760344713346,306678,415.7455050574218,414.07470847968705
S11,S11 rainfall space-time,pinheiral,651,647.278596961588,25364,2566.6298691058196,2551.9578810975713
S11,S11 rainfall space-time,pirai,1212,1596.6981353872065,29545,4102.216957183957,5404.292216575415
S11,S11 rainfall space-time,porciuncula,1580,2139.158124628608,18960,8333.333333333332,11282.47956027747
S11,S11 rainfall space-time,porto real,248,246.6075969627554,19974,1241.6140983278262,1234.64302074074
S11,S11 rainfall space-time,quatis,291,272.767537663794,14435,2015.9334949774855,1889.626170168299
S11,S11 rainfall space-time,queimados,204,211.02874937862887,151335,134.80027752998316,139.44477442668838
S11,S11 rainfall space-time,quissama,881,875.9971168382795,25126,3506.3281063440263,3486.4169260458466
S11,S11 rainfall space-time,resende,10219,14215.768344996473,132312,7723.411330793881,10744.12626594449
S11,S11 rainfall space-time,rio bonito,270,255.60574364403135,60573,445.74315288990147,421.97966692095713
S11,S11 rainfall space-time,rio claro,30,34.655051021370475,18605,161.2469766191884,186.2674067259902
S11,S11 rainfall space-time,rio das flores,60,63.68071301486852,9344,642.1232876712328,681.5144800392608
S11,S11 rainfall space-time,rio das ostras,5243,6113.8564248693065,155193,3378.374024601625,3939.518164394854
S11,S11 rainfall space-time,rio de janeiro,87458,104450.13215900163,6747815,1296.093624380633,1547.9104296576245
S11,S11 rainfall space-time,santa maria madalena,6,10.719490608496043,10392,57.736720554272516,103.15137229114745
S11,S11 rainfall space-time,santo antonio de padua,1038,1599.168684254976,42594,2436.9629525285254,3754.4458943864765
S11,S11 rainfall space-time,sao fidelis,148,158.85907862656236,38710,382.33014724877296,410.38253326417555
S11,S11 rainfall space-time,sao francisco de itabapoana,1388,1113.5724607590923,42210,3288.3203032456768,2638.1721411018534
S11,S11 rainfall space-time,sao goncalo,6570,6339.448782376415,1091737,601.793289043057,580.6754541044605
S11,S11 rainfall space-time,sao joao da barra,111,120.19419473155175,36423,304.7524915575323,329.99531815487944
S11,S11 rainfall space-time,sao joao de meriti,2254,2335.9559428094585,472906,476.6274904526481,493.9577723288473
S11,S11 rainfall space-time,sao jose de uba,269,249.8036019959486,7206,3733.0002775464886,3466.6056341375047
S11,S11 rainfall space-time,sao jose do vale do rio preto,21,23.743134161561542,21916,95.82040518342762,108.33698741358616
S11,S11 rainfall space-time,sao pedro da aldeia,1288,1396.3485820855144,106049,1214.5329046007034,1316.7013192821378
S11,S11 rainfall space-time,sao sebastiao do alto,35,33.19009984622927,9387,372.85607755406414,353.5751554940798
S11,S11 rainfall space-time,sapucaia,384,482.71746126104557,6009,6390.414378432352,8033.241159278507
S11,S11 rainfall space-time,saquarema,2103,2715.6884348307813,90583,2321.627678482718,2998.0111442884217
S11,S11 rainfall space-time,seropedica,524,711.140053188665,83092,630.6262937466904,855.8465955671605
S11,S11 rainfall space-time,silva jardim,23,25.2357288911952,21774,105.63056856801691,115.89845178283825
S11,S11 rainfall space-time,sumidouro,149,109.23719203647008,15667,951.0435948171315,697.2438375979452
S11,S11 rainfall space-time,tangua,243,262.4124874179685,34610,702.1092169893095,758.1984611903165
S11,S11 rainfall space-time,teresopolis,121,137.39559242478202,184240,65.67520625271385,74.5742468653832
S11,S11 rainfall space-time,trajano de moraes,16,18.76732169769481,10640,150.37593984962407,176.38460242194373
S11,S11 rainfall space-time,tres rios,1825,1510.6873475463049,82142,2221.762314041538,1839.11683127548
S11,S11 rainfall space-time,valenca,35,37.067931501020546,97233,35.99600958522313,38.12278907471799
S11,S11 rainfall space-time,varre sai,712,847.820252313365,11106,6410.949036556816,7633.893861996803
S11,S11 rainfall space-time,vassouras,1282,1518.9821158335164,37083,3457.109726829005,4096.168367806047
S11,S11 rainfall space-time,volta redonda,5648,6636.454160578516,273988,2061.4041490868212,2422.16964267724
S6,S6 rainfall-region,angra dos reis,6096,8867.959616468632,207044,2944.301694325844,4283.128038710917
S6,S6 rainfall-region,aperibe,498,384.9059912307638,11901,4184.522309049659,3234.2323437590435
S6,S6 rainfall-region,araruama,631,663.8338130837813,134293,469.8681241762415,494.3175095379366
S6,S6 rainfall-region,areal,39,42.32924074134236,12669,307.83802983660905,334.11666857165017
S6,S6 rainfall-region,armacao dos buzios,981,880.2872279579618,34477,2845.3751776546683,2553.2593553904394
S6,S6 rainfall-region,arraial do cabo,262,258.2827810561263,30593,856.4050599810415,844.254506116191
S6,S6 rainfall-region,barra do pirai,1081,1126.7429904812284,100764,1072.8037791274662,1118.19994291734
S6,S6 rainfall-region,barra mansa,1241,1251.620483847982,184833,671.4169006616784,677.1628896614685
S6,S6 rainfall-region,belford roxo,3064,4181.218966274717,513118,597.1336027970175,814.8649952398312
S6,S6 rainfall-region,bom jardim,50,47.32696132750145,41822,119.55430156377025,113.16283613290004
S6,S6 rainfall-region,bom jesus do itabapoana,1564,1600.381065088895,37203,4203.962046071553,4301.7527217936595
S6,S6 rainfall-region,cabo frio,1842,2388.8386197727405,230378,799.5555131132313,1036.9213291949495
S6,S6 rainfall-region,cachoeiras de macacu,420,352.86269367775856,59303,708.2272397686459,595.0165989541146
S6,S6 rainfall-region,cambuci,173,146.00407263624746,15514,1115.1218254479825,941.1117225489716
S6,S6 rainfall-region,campos dos goytacazes,11515,15838.787955179796,511168,2252.6840490797545,3098.548413668265
S6,S6 rainfall-region,cantagalo,83,80.69204615229766,4551,1823.774994506702,1773.061879857123
S6,S6 rainfall-region,carapebus,371,362.64752427684715,16586,2236.8262389967445,2186.4676490826428
S6,S6 rainfall-region,cardoso moreira,246,265.1357302510891,12821,1918.727088370642,2067.9801127142123
S6,S6 rainfall-region,carmo,301,231.70074217142405,19030,1581.713084603258,1217.5551348997585
S6,S6 rainfall-region,casimiro de abreu,1039,1066.8627371524244,45041,2306.787149486024,2368.6479810670817
S6,S6 rainfall-region,comendador levy gasparian,37,34.33133331305128,8576,431.4365671641791,400.3187186689748
S6,S6 rainfall-region,conceicao de macabu,169,149.77346883772364,23398,722.2839558936661,640.1122695859631
S6,S6 rainfall-region,cordeiro,214,200.78200618762602,22041,970.917834943968,910.947807212132
S6,S6 rainfall-region,duas barras,18,19.32983319358619,11528,156.1415683553088,167.6772483829475
S6,S6 rainfall-region,duque de caxias,4795,6832.942218299013,924624,518.5891778712212,738.9968482647015
S6,S6 rainfall-region,engenheiro paulo de frontin,185,191.89860600215513,14071,1314.7608556605785,1363.7879752835984
S6,S6 rainfall-region,guapimirim,445,437.73471716991196,61388,724.8973740796247,713.0623528538346
S6,S6 rainfall-region,iguaba grande,2137,2961.9083442522297,28837,7410.618302874779,10271.208323515724
S6,S6 rainfall-region,itaborai,6277,6016.428740777662,242543,2587.9947060933528,2480.5616904126946
S6,S6 rainfall-region,itaguai,1378,1272.3814936623662,134819,1022.1111267699657,943.7701612253214
S6,S6 rainfall-region,italva,920,1045.6312593555576,15299,6013.464932348519,6834.637945980507
S6,S6 rainfall-region,itaocara,510,517.9985273570261,23222,2196.193265007321,2230.637013853355
S6,S6 rainfall-region,itaperuna,5828,10489.795398217379,103800,5614.643545279383,10105.775913504218
S6,S6 rainfall-region,itatiaia,914,853.862894378807,32064,2850.5489021956087,2662.9955538261197
S6,S6 rainfall-region,japeri,867,791.6812112521366,105548,821.4272179482322,750.0674681207948
S6,S6 rainfall-region,laje do muriae,80,74.39000035942196,7326,1092.001092001092,1015.4245203306301
S6,S6 rainfall-region,macae,2373,2930.921778271654,261501,907.4535087819932,1120.8071014151585
S6,S6 rainfall-region,macuco,231,126.55441700757002,5623,4108.127334163258,2250.656535791749
S6,S6 rainfall-region,mage,1012,1252.176629246734,246433,410.6592867026738,508.1205152097056
S6,S6 rainfall-region,mangaratiba,936,940.184863144955,45220,2069.880583812472,2079.135035703129
S6,S6 rainfall-region,marica,1888,1948.1908734721464,164504,1147.6924573262656,1184.2817642562775
S6,S6 rainfall-region,mendes,141,112.77273935281788,18648,756.1132561132562,604.7444195239054
S6,S6 rainfall-region,mesquita,359,329.5879251603923,5546,6473.133790119005,5942.804276242197
S6,S6 rainfall-region,miguel pereira,220,198.48131645282615,25581,860.0132911144991,775.8935008515153
S6,S6 rainfall-region,miracema,966,745.955482970157,27154,3557.4869264196805,2747.1292736619175
S6,S6 rainfall-region,natividade,1179,1196.5573011180184,9250,12745.945945945947,12935.75460668128
S6,S6 rainfall-region,nilopolis,103,110.98750589399792,162693,63.309423269593644,68.21898046873432
S6,S6 rainfall-region,niteroi,3554,3697.6788045546627,515317,689.6725704760371,717.5542053832229
S6,S6 rainfall-region,nova friburgo,3055,4463.318212180113,191158,1598.1544063026397,2334.8843428891873
S6,S6 rainfall-region,nova iguacu,4322,6091.427622871927,823302,524.9592494613155,739.8776661385406
S6,S6 rainfall-region,paracambi,300,292.871309410494,52683,569.4436535504813,555.9123615027505
S6,S6 rainfall-region,paraiba do sul,224,256.0022232254952,44518,503.16725818769936,575.0532890639633
S6,S6 rainfall-region,paraty,5059,6820.604106561418,43680,11581.959706959708,15614.936141395188
S6,S6 rainfall-region,paty do alferes,363,332.4611356383817,27858,1303.0368296360111,1193.41351008106
S6,S6 rainfall-region,petropolis,1275,1345.1253117400752,306678,415.7455050574218,438.6116094861957
S6,S6 rainfall-region,pinheiral,651,625.2551754947605,25364,2566.6298691058196,2465.128432008991
S6,S6 rainfall-region,pirai,1212,1839.7310089283158,29545,4102.216957183957,6226.87767449083
S6,S6 rainfall-region,porciuncula,1580,2392.4824144032764,18960,8333.333333333332,12618.578135038377
S6,S6 rainfall-region,porto real,248,248.67116851611732,19974,1241.6140983278262,1244.974309182524
S6,S6 rainfall-region,quatis,291,284.86463970566206,14435,2015.9334949774855,1973.4301330492694
S6,S6 rainfall-region,queimados,204,197.26536875238716,151335,134.80027752998316,130.35012968076595
S6,S6 rainfall-region,quissama,881,920.7228785879026,25126,3506.3281063440263,3664.4228233220674
S6,S6 rainfall-region,resende,10219,16295.062210226422,132312,7723.411330793881,12315.634417306384
S6,S6 rainfall-region,rio bonito,270,261.5371257693108,60573,445.74315288990147,431.77178903027885
S6,S6 rainfall-region,rio claro,30,34.161603510625966,18605,161.2469766191884,183.61517608506298
S6,S6 rainfall-region,rio das flores,60,58.3171740133387,9344,642.1232876712328,624.1135917523405
S6,S6 rainfall-region,rio das ostras,5243,6490.350909660279,155193,3378.374024601625,4182.11575886817
S6,S6 rainfall-region,rio de janeiro,87458,114154.8302280315,6747815,1296.093624380633,1691.7302894052596
S6,S6 rainfall-region,santa maria madalena,6,10.658766807735681,10392,57.736720554272516,102.56704010523173
S6,S6 rainfall-region,santo antonio de padua,1038,1473.8801466114942,42594,2436.9629525285254,3460.2999169166883
S6,S6 rainfall-region,sao fidelis,148,146.25429082005482,38710,382.33014724877296,377.8204361148407
S6,S6 rainfall-region,sao francisco de itabapoana,1388,1067.698594366506,42210,3288.3203032456768,2529.4920501457145
S6,S6 rainfall-region,sao goncalo,6570,6764.451412484947,1091737,601.793289043057,619.6044846409847
S6,S6 rainfall-region,sao joao da barra,111,118.86258493190749,36423,304.7524915575323,326.3393595582667
S6,S6 rainfall-region,sao joao de meriti,2254,2223.647056118894,472906,476.6274904526481,470.20910204541576
S6,S6 rainfall-region,sao jose de uba,269,262.32536088445045,7206,3733.0002775464886,3640.3741449410277
S6,S6 rainfall-region,sao jose do vale do rio preto,21,22.897010341260096,21916,95.82040518342762,104.47622897088928
S6,S6 rainfall-region,sao pedro da aldeia,1288,1391.023908697266,106049,1214.5329046007034,1311.6803635086292
S6,S6 rainfall-region,sao sebastiao do alto,35,34.54741407566032,9387,372.85607755406414,368.03466576819346
S6,S6 rainfall-region,sapucaia,384,403.6327739812043,6009,6390.414378432352,6717.137193895895
S6,S6 rainfall-region,saquarema,2103,3003.6333723782705,90583,2321.627678482718,3315.8908099513933
S6,S6 rainfall-region,seropedica,524,629.0117100753162,83092,630.6262937466904,757.0063424581382
S6,S6 rainfall-region,silva jardim,23,24.884695673850654,21774,105.63056856801691,114.28628489873543
S6,S6 rainfall-region,sumidouro,149,110.57911653910473,15667,951.0435948171315,705.8091309063939
S6,S6 rainfall-region,tangua,243,231.0879430403122,34610,702.1092169893095,667.6912540893159
S6,S6 rainfall-region,teresopolis,121,129.47932074161977,184240,65.67520625271385,70.27752971212537
