model,model_label,date,observed_cases,predicted_cases,population,observed_incidence_per_100k,predicted_incidence_per_100k
S11,S11 rainfall space-time,2017-03-27,506,427.2898401839777,17195818,2.9425759216572307,2.484847421529919
S11,S11 rainfall space-time,2017-04-03,486,414.0603266398342,17195818,2.826268572975127,2.4079129392962537
S11,S11 rainfall space-time,2017-04-10,367,341.2855524237287,16553311,2.2170791088260224,2.061735881261028
S11,S11 rainfall space-time,2017-04-17,420,323.36844348363576,16553311,2.5372567457954482,1.9534970585862597
S11,S11 rainfall space-time,2017-04-24,414,376.42750741299704,16553311,2.5010102208555134,2.274031505920459
S11,S11 rainfall space-time,2017-05-01,399,386.8878791110766,16553311,2.410393908505676,2.337223526526364
S11,S11 rainfall space-time,2017-05-08,335,305.36675592513217,16553311,2.0237643091463697,1.8447472890778902
S11,S11 rainfall space-time,2017-05-15,357,397.1595012978759,16553311,2.156668233926131,2.399275294820933
S11,S11 rainfall space-time,2017-05-22,258,242.57466864144493,16553311,1.558600572417204,1.4654147961180994
S11,S11 rainfall space-time,2017-05-29,333,232.92002363626437,16553311,2.0116821341663913,1.407090240957017
S11,S11 rainfall space-time,2017-06-05,371,206.7612159157977,16553311,2.2412434587859793,1.2490625948838736
S11,S11 rainfall space-time,2017-06-12,220,204.59415252575002,16553311,1.3290392477976158,1.2359711753482432
S11,S11 rainfall space-time,2017-06-19,250,153.09717989960606,16553311,1.5102718724972908,0.9248734582441305
S11,S11 rainfall space-time,2017-06-26,191,137.1014300961669,16553311,1.1538477105879301,0.8282417342135776
S11,S11 rainfall space-time,2017-07-03,212,185.07204002006827,16553311,1.2807105478777026,1.1180363857120081
S11,S11 rainfall space-time,2017-07-10,189,114.50313818200459,16553311,1.141765535607952,0.6917234756358084
S11,S11 rainfall space-time,2017-07-17,161,119.63316228675603,16553311,0.9726150858882552,0.7227144000783652
S11,S11 rainfall space-time,2017-07-24,147,97.55756548368143,16553311,0.8880398610284069,0.5893537883972665
S11,S11 rainfall space-time,2017-07-31,177,94.58794736365977,16553311,1.0692724857280818,0.5714140655223584
S11,S11 rainfall space-time,2017-08-07,107,87.32309071427979,16553311,0.6463963614288404,0.5275264309012245
S11,S11 rainfall space-time,2017-08-14,127,86.87269981522586,16456078,0.7717513249511823,0.5279064660195817
S11,S11 rainfall space-time,2017-08-21,125,88.96499182119743,16456078,0.7595977607787227,0.5406208686006315
S11,S11 rainfall space-time,2017-08-28,115,97.89130387890572,16182090,0.7106622197750724,0.6049360983587764
S11,S11 rainfall space-time,2017-09-04,109,86.37297244827143,17061502,0.6388652065920105,0.5062448338268895
S11,S11 rainfall space-time,2017-09-11,121,94.05319967146085,16984702,0.712405787278458,0.553752427752108
S11,S11 rainfall space-time,2017-09-18,153,100.94061847342883,17098585,0.8948108863979095,0.5903448646389676
S11,S11 rainfall space-time,2017-09-25,123,103.2734349103989,17098585,0.7193577714179273,0.6039881949903977
S11,S11 rainfall space-time,2017-10-02,162,105.06734522749832,17098585,0.9474468208919041,0.6144797667613918
S11,S11 rainfall space-time,2017-10-09,152,102.24809578669145,17195818,0.8839358499839902,0.5946102464371945
S11,S11 rainfall space-time,2017-10-16,166,134.72359704123608,17098585,0.9708405695559018,0.7879224920730931
S11,S11 rainfall space-time,2017-10-23,143,113.69280630512816,17098585,0.8363265147379155,0.6649252339016833
S11,S11 rainfall space-time,2017-10-30,147,146.4038375750736,17098585,0.8597202634019132,0.8562336449190011
S11,S11 rainfall space-time,2017-11-06,194,159.50791619760201,17098585,1.1345968102038853,0.9328720253611746
S11,S11 rainfall space-time,2017-11-13,200,164.18158411744133,17098585,1.1696874331998819,0.9602056785251022
S11,S11 rainfall space-time,2017-11-20,183,171.61855928890756,17195818,1.0642122404412515,0.9980249807767655
S11,S11 rainfall space-time,2017-11-27,203,158.3607299454903,17195818,1.1805195891233553,0.9209258317661323
S11,S11 rainfall space-time,2018-02-05,491,425.243628063267,14680781,3.344508715169854,2.8966008556579315
S11,S11 rainfall space-time,2018-02-12,541,402.47581136262966,14680781,3.6850900507268656,2.7415149872655253
