municipio,ibge_code,rainfall_municipality_slope_idx,rainfall_effect_mean,rainfall_effect_sd,rainfall_effect_q025,rainfall_effect_q975,rainfall_relative_risk,rainfall_relative_risk_q025,rainfall_relative_risk_q975
angra dos reis,3300100,1,0.265709317574723,0.0768884042326627,0.115008045278704,0.416410589870742,1.30435585025301,1.12188246339272,1.5165084040481
aperibe,3300159,2,0.535496995186673,0.111449194600948,0.317056573768816,0.75393741660453,1.7082970467205,1.3730802500528,2.12535195937876
araruama,3300209,3,-0.155230555447332,0.115290694774128,-0.381200317204624,0.0707392063099595,0.856217749059241,0.683041051040809,1.07330127916466
areal,3300225,4,0.369771025695133,0.145241151988393,0.0850983677978823,0.654443683592385,1.44740315858521,1.08882416666627,1.92407182685591
armacao dos buzios,3300233,5,0.363473606998315,0.149605626036414,0.0702465799669442,0.656700634029687,1.43831689490407,1.07277267289393,1.92841926573856
arraial do cabo,3300258,6,0.199407452906161,0.124100373287982,-0.0438292787382841,0.442644184550606,1.22067923388769,0.957117343806434,1.55681829577835
barra do pirai,3300308,7,0.395848633435244,0.0846935624616257,0.229849251010458,0.56184801586003,1.48564442363825,1.25841029155003,1.75391076210035
barra mansa,3300407,8,0.394202263547486,0.0832811106146304,0.23097128674281,0.557433240352161,1.48320051573547,1.25982306530621,1.74618470677331
belford roxo,3300456,9,-0.0211509793588256,0.103386193069163,-0.223787917774384,0.181485959056733,0.979071133878011,0.799484672879447,1.19899770153282
bom jardim,3300506,10,0.422774841663334,0.140303754825601,0.147779482205156,0.697770201121512,1.52619062273541,1.15925723132636,2.00926744641524
bom jesus do itabapoana,3300605,11,0.330417809098808,0.0965735119189051,0.141133725737754,0.519701892459862,1.3915494090277,1.15157863339094,1.68152629930567
cabo frio,3300704,12,0.219376674413967,0.116557501234787,-0.00907602800621438,0.447829376834149,1.24530026110083,0.990965034812969,1.564911662691
cachoeiras de macacu,3300803,13,0.236840986922258,0.0981401954040005,0.0444862039304174,0.4291957699141,1.26723959408517,1.04549055295054,1.53602171180317
cambuci,3300902,14,0.826713389137585,0.139669180691622,0.552961794982005,1.10046498329316,2.28579386642103,1.73839416771589,3.00556323577236
campos dos goytacazes,3301009,15,0.0383828361232568,0.104420995800385,-0.166282315645498,0.243047987892011,1.03912897284655,0.846807133537544,1.27512981344206
cantagalo,3301108,16,0.375808836840618,0.130080473484415,0.120851108811164,0.630766564870072,1.45616874134556,1.12845688257178,1.87905044137743
carapebus,3300936,17,0.739595062349815,0.139746880005221,0.465691177539582,1.01349894716005,2.09508696310898,1.59311493369838,2.75522455420046
cardoso moreira,3301157,18,0.388422679997739,0.129691617418519,0.134227109857441,0.642618250138037,1.47465295888647,1.14365252491461,1.90145284671582
carmo,3301207,19,0.313723307034173,0.103821086009658,0.110233978455243,0.517212635613104,1.36851102678186,1.11653928603564,1.67734575383653
casimiro de abreu,3301306,20,0.0707967973346345,0.0911729778373946,-0.107902239226659,0.249495833895928,1.07336309346507,0.897715353487963,1.28337821775747
comendador levy gasparian,3300951,21,-0.167616349852191,0.16574349470042,-0.492473599465015,0.157240899760633,0.845678217028975,0.611112874555909,1.17027749951597
conceicao de macabu,3301405,22,0.860364621431099,0.14388978572241,0.578340641415176,1.14238860144702,2.36402250984862,1.78307721009011,3.1342458954924
cordeiro,3301504,23,0.455313309076474,0.103528680966225,0.252397094382672,0.658229523770276,1.57666728982969,1.28710703879521,1.93136986116228
duas barras,3301603,24,0.72367306700888,0.183066296981061,0.364863124926,1.08248300909176,2.06199315708725,1.440316851181,2.95200030214764
duque de caxias,3301702,25,0.0122710682433377,0.0833395701013018,-0.151074489155214,0.175616625641889,1.01234666670943,0.859783651715951,1.19198099609398
engenheiro paulo de frontin,3301801,26,0.52409671813546,0.115215871787374,0.298273609432206,0.749919826838714,1.68893257698901,1.34753043448172,2.11683029683248
guapimirim,3301850,27,0.236922818668468,0.0987322867052752,0.0434075367261287,0.430438100610807,1.26734329875713,1.04436342458617,1.53793114455443
iguaba grande,3301876,28,0.000259029204411843,0.10958930649282,-0.214536011521516,0.215054069930339,1.00025906275537,0.80691575294468,1.2399289380249
itaborai,3301900,29,0.121222666926391,0.098803433194937,-0.072432062135686,0.314877395988467,1.12887624778863,0.930128935487211,1.37009132196691
itaguai,3302007,30,0.177819451495105,0.0967421429470367,-0.0117951486810874,0.367434051671296,1.19460961678258,0.988274141388658,1.44402456438269
italva,3302056,31,0.130752696162232,0.10558674331548,-0.0761973207361088,0.337702713060573,1.13968589776162,0.926633344545093,1.40172372730053
itaocara,3302106,32,0.642375580182178,0.108646309533335,0.429428813496841,0.855322346867515,1.90099147721996,1.53637971351944,2.35213246091668
itaperuna,3302205,33,-0.0558023361334655,0.0865416190841826,-0.225423909538463,0.113819237271532,0.945726053284755,0.798177791853892,1.1205495529814
itatiaia,3302254,34,0.108694252332926,0.077786955945928,-0.0437681813210927,0.261156685986945,1.11482144417271,0.957175822990535,1.29843109545363
japeri,3302270,35,0.480202254325343,0.106235131828548,0.27198139594139,0.688423112709297,1.61640129328727,1.31256258209275,1.99057414601517
laje do muriae,3302304,36,0.459760340784342,0.131974436948731,0.201090444364831,0.718430237203854,1.58369439255392,1.22273535634504,2.05121076771988
macae,3302403,37,0.0867730623360006,0.0882074516276521,-0.0861135428541975,0.259659667526199,1.09064914226297,0.917490050866722,1.29648877434175
macuco,3302452,38,0.73310395494634,0.133122671679285,0.472183518454942,0.994024391437738,2.08153157096073,1.60349162703212,2.70208687582968
mage,3302502,39,0.159273842564121,0.0929665181187727,-0.0229405329486732,0.341488218076916,1.17265902667073,0.977320600419555,1.40704001557116
mangaratiba,3302601,40,0.214432944979432,0.0902666453256475,0.0375103201411632,0.391355569817701,1.23915902635457,1.03822271163148,1.478984302109
marica,3302700,41,0.122065560256875,0.108587004173909,-0.0907649679239876,0.334896088437737,1.12982817117741,0.913232324566854,1.39779513060004
mendes,3302809,42,0.901294446963705,0.152679371929337,0.602042877982204,1.20054601594521,2.46278899847233,1.82584497152939,3.32193025452529
mesquita,3302858,43,0.175033440700376,0.279695762056091,-0.373170252929562,0.723237134330314,1.19128605338624,0.688547995550856,2.06109446278644
miguel pereira,3302908,44,0.636755973666533,0.112164574898698,0.416913406865084,0.856598540467982,1.89033861361401,1.51727112198342,2.35513615354974
miracema,3303005,45,0.650591195976469,0.102547220759245,0.449598643288348,0.85158374866459,1.91667362386366,1.56768285916918,2.34335520027409
