date,year,week,rainfall_time_idx,rainfall_effect_mean,rainfall_effect_sd,rainfall_effect_q025,rainfall_effect_q975,rainfall_relative_risk,rainfall_relative_risk_q025,rainfall_relative_risk_q975
2017-03-27,2017,13,1,0.0596848411612688,0.108376902845903,-0.152733888416701,0.272103570739238,1.0615019521004,0.858358110457426,1.31272295395739
2017-04-03,2017,14,2,0.0146223459802475,0.102802222532325,-0.18687001018311,0.216114702143605,1.01472977546626,0.829551562632822,1.24124474426862
2017-04-10,2017,15,3,-0.0309063020743718,0.10463674028808,-0.23599431303901,0.174181708890266,0.969566415181962,0.789785165397458,1.19027182914447
2017-04-17,2017,16,4,-0.0766721814178353,0.105193473829221,-0.282851390123108,0.129507027287438,0.926193427261369,0.753631776663742,1.13826711036485
2017-04-24,2017,17,5,-0.185230475533186,0.141333736394518,-0.462244598866442,0.0917836478000705,0.830912756721179,0.629868256036872,1.09612764679726
2017-05-01,2017,18,6,-0.16355680935418,0.133862359320493,-0.425927033622346,0.0988134149139868,0.849118259771417,0.653163999393015,1.1038603164707
2017-05-08,2017,19,7,-0.154075404475161,0.130008631841061,-0.408892322883642,0.100741513933319,0.857207381301735,0.664385767614397,1.10599072162041
2017-05-15,2017,20,8,-0.101164338386039,0.150892554611128,-0.39691374542385,0.194585068651772,0.903784494195791,0.672392020020174,1.21480682046797
2017-05-22,2017,21,9,-0.057150165158112,0.128257578437179,-0.308535018894982,0.194234688578758,0.944452234898309,0.734522229591964,1.21438125092541
2017-05-29,2017,22,10,0.0725812873361883,0.134720832298435,-0.191471543968745,0.336634118641122,1.07528020920159,0.825743122144257,1.40022665317291
2017-06-05,2017,23,11,0.304072196468931,0.138002671676017,0.0335869599839383,0.574557432953924,1.35536690526211,1.03415737012452,1.77634420151994
2017-06-12,2017,24,12,0.347506042562722,0.132475829542564,0.0878534166592961,0.607158668466148,1.41553286403496,1.09182806649229,1.83520954503432
2017-06-19,2017,25,13,0.455419684507225,0.164843467884594,0.132326487453421,0.778512881561029,1.57683501741269,1.14148093764077,2.17823056885892
2017-06-26,2017,26,14,0.534439664180909,0.192928684209907,0.15629944312949,0.912579885232327,1.70649176584385,1.16917625247328,2.49074007510209
2017-07-03,2017,27,15,0.597024283204709,0.203904098293687,0.197372250549083,0.996676315860335,1.81670475020827,1.21819743097586,2.70926211589975
2017-07-10,2017,28,16,0.648579127566263,0.205519446275952,0.245761012865398,1.05139724226713,1.91282102256084,1.27859396951638,2.86164673976574
2017-07-17,2017,29,17,0.550198726904684,0.199740431455651,0.158707481251608,0.94168997255776,1.73359749610208,1.17199506600382,2.56431137439756
