climate_lag_weeks,model,case_lag_weeks,validation_years,primary_selection_metric,validation_policy,common_row_filter,n_available_rows_before_common_filter,n_model_rows,dic,waic,lpml,cv_folds,cv_train_rows_min,cv_train_rows_max,cv_test_rows_total,cv_test_cases_total,cv_mae,cv_rmse,cv_wape,cv_accuracy_pct,cv_r2,error,waic_rank,dic_rank,cv_rmse_rank,cv_wape_rank,best_by_waic,best_by_dic,best_by_cv_rmse,best_by_cv_wape
12,s2_climate_lag_sensitivity,4,"2020,2021,2022,2023",cv_wape,rolling_origin_one_step_ahead,TRUE,30302,27960,84856.166277864,85010.2417411258,-42479.7675943102,4,10578,23487,17382,136076,4.11588599531039,23.5823686040225,0.525752743837894,47.4247256162106,0.300062971361088,,4,4,1,1,FALSE,FALSE,TRUE,TRUE
11,s2_climate_lag_sensitivity,4,"2020,2021,2022,2023",cv_wape,rolling_origin_one_step_ahead,TRUE,30394,27960,84824.3957013032,84976.7302579092,-42463.784620614,4,10578,23487,17382,136076,4.11608409268604,23.85812963374,0.525778048289697,47.4221951710304,0.309765074914418,,1,1,4,2,TRUE,TRUE,FALSE,FALSE
10,s2_climate_lag_sensitivity,4,"2020,2021,2022,2023",cv_wape,rolling_origin_one_step_ahead,TRUE,30486,27960,84834.8554175761,84988.535603299,-42469.1438438164,4,10578,23487,17382,136076,4.13466596278381,24.5560944350403,0.528151648822043,47.1848351177958,0.328474322217867,,2,2,5,3,FALSE,FALSE,FALSE,FALSE
14,s2_climate_lag_sensitivity,4,"2020,2021,2022,2023",cv_wape,rolling_origin_one_step_ahead,TRUE,30118,27960,84859.9143855088,85012.0639267257,-42482.5216592766,4,10578,23487,17382,136076,4.1394255190565,23.6535039389833,0.528759622359859,47.1240377640141,0.272829247404264,,6,6,2,4,FALSE,FALSE,FALSE,FALSE
13,s2_climate_lag_sensitivity,4,"2020,2021,2022,2023",cv_wape,rolling_origin_one_step_ahead,TRUE,30210,27960,84857.2755756857,85011.8341896576,-42481.344250985,4,10578,23487,17382,136076,4.14301642511872,23.6786964727647,0.52921831551055,47.078168448945,0.270486151971506,,5,5,3,5,FALSE,FALSE,FALSE,FALSE
8,s2_climate_lag_sensitivity,4,"2020,2021,2022,2023",cv_wape,rolling_origin_one_step_ahead,TRUE,30761,27960,84860.5796466668,85017.0622337278,-42481.9075434151,4,10578,23487,17382,136076,4.16134431670286,25.0271855569694,0.531559473477535,46.8440526522465,0.360210143543107,,7,7,6,6,FALSE,FALSE,FALSE,FALSE
9,s2_climate_lag_sensitivity,4,"2020,2021,2022,2023",cv_wape,rolling_origin_one_step_ahead,TRUE,30578,27960,84838.0439525698,85001.8688874854,-42469.733200307,4,10578,23487,17382,136076,4.16479769590613,25.1162115882639,0.532000599299218,46.7999400700782,0.336288897331937,,3,3,7,7,FALSE,FALSE,FALSE,FALSE
5,s2_climate_lag_sensitivity,4,"2020,2021,2022,2023",cv_wape,rolling_origin_one_step_ahead,TRUE,31037,27960,84872.7502519038,85029.389446106,-42487.4266949528,4,10578,23487,17382,136076,4.19515716676068,26.5017657062178,0.535878640411492,46.4121359588508,0.352868420572975,,11,10,9,8,FALSE,FALSE,FALSE,FALSE
6,s2_climate_lag_sensitivity,4,"2020,2021,2022,2023",cv_wape,rolling_origin_one_step_ahead,TRUE,30945,27960,84868.8272656617,85023.4054747188,-42485.6743891242,4,10578,23487,17382,136076,4.22972793170971,26.4095500381849,0.540294621454028,45.9705378545972,0.302560947301825,,8,9,8,9,FALSE,FALSE,FALSE,FALSE
7,s2_climate_lag_sensitivity,4,"2020,2021,2022,2023",cv_wape,rolling_origin_one_step_ahead,TRUE,30853,27960,84876.9523332973,85028.8675523216,-42490.0131048515,4,10578,23487,17382,136076,4.23308352697283,26.893535461025,0.540723256605439,45.9276743394561,0.325778608537793,,10,11,10,10,FALSE,FALSE,FALSE,FALSE
4,s2_climate_lag_sensitivity,4,"2020,2021,2022,2023",cv_wape,rolling_origin_one_step_ahead,TRUE,31220,27960,84865.5803919823,85023.4622299137,-42483.6474525605,4,10578,23487,17382,136076,4.25910900064578,27.7888454464282,0.54404768400912,45.595231599088,0.307023978672277,,9,8,11,11,FALSE,FALSE,FALSE,FALSE
