climate_lag_weeks,validation_year,train_year_start,train_year_end,train_rows,test_rows,test_cases_sum,test_abs_error_sum,test_sq_error_sum,train_mae,train_rmse,train_wape,train_accuracy_pct,train_r2,test_mae,test_rmse,test_wape,test_accuracy_pct,test_r2,error
4,2020,2017,2019,9378,4732,8177,9919.62114182359,384944.9615891,3.5700662418523,17.1086056485957,0.524585271788581,47.5414728211419,0.894272536919125,2.09628511027549,9.01938554647181,1.21311252804495,0,-1.19243212394567,
4,2021,2017,2020,14110,2901,2369,2454.14120793024,13248.824400146,2.86921847426198,14.4529393816997,0.562294930093979,43.7705069906021,0.887587269397663,0.845963877259647,2.13705061134705,1.03593972474894,0,0.438476824521506,
4,2022,2017,2021,17011,4724,22980,13210.0377979338,383758.12377805,2.61419855372686,14.2989008087461,0.597974015671358,40.2025984328642,0.867690899976219,2.79636701903765,9.01309288236325,0.574849338465354,42.5150661534646,0.820181819443351,
4,2023,2017,2022,21735,4407,101246,53258.6232903686,19583505.8833606,2.9546126447155,19.2546244482395,0.659679765715691,34.0320234284309,0.716488697825151,12.0850064194165,66.6612873085429,0.526031875732064,47.3968124267936,0.643972221939117,
5,2020,2017,2019,9378,4732,8177,9694.94719918735,359708.840279791,3.61634687465916,18.3814875180158,0.531385744579514,46.8614255420486,0.877955029474366,2.04880540980291,8.71872917552409,1.18563619899564,0,-1.04870123105668,
5,2021,2017,2020,14110,2901,2369,2448.71634595705,13319.9933863835,2.8885776919277,15.0238825843948,0.566088851693771,43.3911148306229,0.878530429297955,0.844093880026558,2.14278274346442,1.03364978723387,0,0.435460478773336,
5,2022,2017,2021,17011,4724,22980,13186.1022064161,346675.507942887,2.6349921992722,15.1439806838043,0.602730371958631,39.7269628041369,0.85158954299666,2.7913002130432,8.56656344761717,0.573807754848393,42.6192245151607,0.837557682250145,
5,2023,2017,2022,21735,4407,101246,51635.5281493178,16669000.1563406,2.97853087571772,20.2560069876026,0.665020016679589,33.4979983320411,0.686232506557704,11.7167070908368,61.501151900788,0.510000673106274,48.9999326893727,0.696957882643431,
6,2020,2017,2019,9378,4732,8177,9922.35724357762,357955.66807265,3.58739052111453,17.6160119038762,0.527130900113001,47.2869099886999,0.887908218975904,2.09686332281859,8.69745627051284,1.21344713752937,0,-1.03871613851286,
6,2021,2017,2020,14110,2901,2369,2491.8117842773,13662.7294359445,2.8906488007587,15.044149582923,0.566494737131147,43.3505262868853,0.878202486893071,0.858949253456497,2.17017556686515,1.05184119218121,0,0.420934342031849,
6,2022,2017,2021,17011,4724,22980,13254.7757900844,373762.077931281,2.62608076850387,15.1034303367949,0.600691963653982,39.9308036346019,0.85238326275459,2.80583738147426,8.89493283921093,0.576796161448406,42.3203838551594,0.824865683225128,
6,2023,2017,2022,21735,4407,101246,52321.719396912,17170418.1175453,2.97030435468652,19.920943750871,0.663183271860863,33.6816728139137,0.696526977309645,11.8724119348564,62.4193023256747,0.516778138365091,48.3221861634909,0.687842113298003,
7,2020,2017,2019,9378,4732,8177,9855.57632810799,343339.834454667,3.51798749364628,16.7469057394735,0.516932824346071,48.3067175653929,0.898695734682958,2.08275070331953,8.5180410507386,1.20528021622942,0,-0.955472489836362,
7,2021,2017,2020,14110,2901,2369,2497.92469597643,13559.6309132316,2.86747322526456,14.4539080032581,0.561952905019277,43.8047094980723,0.887572201314954,0.861056427430688,2.1619720236635,1.05442156858439,0,0.425303953109209,
7,2022,2017,2021,17011,4724,22980,13177.6979658547,360962.111825751,2.59902443825479,14.2460863516258,0.59450307550495,40.549692449505,0.868666489392992,2.78952116127323,8.7412967702996,0.573442035067655,42.6557964932345,0.830863384573112,
7,2023,2017,2022,21735,4407,101246,52344.2842924009,17683443.8612453,2.91052305925822,18.2559973037116,0.649835833226955,35.0164166773045,0.745134296398948,11.8775321743592,63.3449355714185,0.517001010335232,48.2998989664768,0.678515314679543,
8,2020,2017,2019,9378,4732,8177,9805.16981415111,335441.27209211,3.44145025104334,15.7129574081967,0.505686447530388,49.4313552469612,0.910818567072295,2.07209843916971,8.41949183692682,1.19911578991698,0,-0.910486677357687,
8,2021,2017,2020,14110,2901,2369,2492.37613278748,13611.800408887,2.82798672977963,14.2137502025435,0.554214541274049,44.5785458725951,0.891277234060415,0.859143789309712,2.16612703026231,1.05207941443118,0,0.423092860262118,
8,2022,2017,2021,17011,4724,22980,12976.2005521748,330462.780050722,2.55628450250159,13.8018411927559,0.584726706003317,41.5273293996683,0.87672969787509,2.74686717869916,8.36385185140662,0.564673653271316,43.5326346728684,0.84515450704887,
8,2023,2017,2022,21735,4407,101246,50977.2146563573,14512460.0798627,2.88032263489012,17.5295669676458,0.643092949719938,35.6907050280062,0.765013643369228,11.567328036387,57.3850803142564,0.503498554573586,49.6501445426414,0.736163741711802,
9,2020,2017,2019,9378,4732,8177,10040.4307491929,347432.05781643,3.39262183277456,14.8826288425661,0.49851160333051,50.148839666949,0.919994861460829,2.12181545840933,8.56865340520031,1.22788684715579,0,-0.978779515130716,
9,2021,2017,2020,14110,2901,2369,2558.23095989308,15109.456655506,2.83736487634495,14.0007207561716,0.556052423022923,44.3947576977077,0.894511790139009,0.881844522541567,2.28218348970857,1.07987799066825,0,0.359617893278074,
9,2022,2017,2021,17011,4724,22980,13108.7946536162,325623.904684817,2.5703331757713,13.7268256388879,0.587940211556658,41.2059788443342,0.87806604999921,2.77493536274688,8.30239124583921,0.57044363157599,42.955636842401,0.84742186690479,
9,2023,2017,2022,21735,4407,101246,50914.8316584189,14976815.1759174,2.87474671102301,17.120932084572,0.641848006780673,35.8151993219327,0.775841567480503,11.5531726023188,58.2959266284906,0.50288240185705,49.711759814295,0.727721774575566,
10,2020,2017,2019,9378,4732,8177,10095.7624563783,357820.847813098,3.37216131171707,14.9118066665704,0.495505135866672,50.4494864133328,0.91968084917414,2.13350854953048,8.6958182132777,1.23465359623068,0,-1.03794827739635,
10,2021,2017,2020,14110,2901,2369,2509.51452793394,13546.0313664331,2.81292010156061,13.8072753296399,0.551261859651108,44.8738140348892,0.897406675000295,0.865051543582881,2.16088758354495,1.05931385729588,0,0.425880340905798,
10,2022,2017,2021,17011,4724,22980,13087.7810924347,321026.090381725,2.53810448063978,13.4144060641855,0.580568192235416,41.9431807764584,0.883553267788895,2.77048710678127,8.24356791807045,0.569529203326139,43.0470796673861,0.849576272378686,
10,2023,2017,2022,21735,4407,101246,50305.4303872398,14224399.2423672,2.84647811203801,16.7037987384725,0.635536444150331,36.4463555849669,0.78663127147575,11.4148923047969,56.8127015667031,0.496863386081819,50.3136613918181,0.741400682458303,
11,2020,2017,2019,9378,4732,8177,10130.9242625924,373878.48332465,3.4185053732712,15.7030764682446,0.502314928873072,49.7685071126928,0.91093069355426,2.14093919327818,8.88879454686255,1.2389536825966,0,-1.12940362671384,
11,2021,2017,2020,14110,2901,2369,2507.08119108145,14051.7809881984,2.83435246716188,14.1160229503247,0.555462066301674,44.4537933698326,0.892767150526682,0.864212751148379,2.20085698173457,1.05828669948563,0,0.404445221454173,
11,2022,2017,2021,17011,4724,22980,13099.1828674328,353527.0585063,2.556920739298,13.5856924160237,0.584872239352924,41.5127760647076,0.880560503478043,2.77290069166655,8.6508022674252,0.570025364118049,42.9974635881951,0.834347239838723,
11,2023,2017,2022,21735,4407,101246,49539.5627163993,13020716.9703794,2.8877728703284,17.7739390588257,0.644756372360892,35.5243627639108,0.758416290478037,11.2411079456318,54.3558040230432,0.489298962096273,51.0701037903727,0.763283604103664,
12,2020,2017,2019,9378,4732,8177,10223.6519983231,397359.117418847,3.40420419013934,15.3551640646597,0.500213514072369,49.9786485927631,0.914833754572365,2.16053507994994,9.16366540274414,1.25029375055926,0,-1.26313624206284,
