climate_lag_weeks,case_lag_weeks,n_model_rows,cv_folds,cv_test_rows_total,cv_wape,cv_accuracy_pct,cv_rmse,waic,dic,cv_wape_rank,cv_rmse_rank,best_by_cv_wape
12,4,27960,4,17382,0.525752743837894,47.4247256162106,23.5823686040225,85010.2417411258,84856.166277864,1,1,TRUE
11,4,27960,4,17382,0.525778048289697,47.4221951710304,23.85812963374,84976.7302579092,84824.3957013032,2,4,FALSE
10,4,27960,4,17382,0.528151648822043,47.1848351177958,24.5560944350403,84988.535603299,84834.8554175761,3,5,FALSE
14,4,27960,4,17382,0.528759622359859,47.1240377640141,23.6535039389833,85012.0639267257,84859.9143855088,4,2,FALSE
13,4,27960,4,17382,0.52921831551055,47.078168448945,23.6786964727647,85011.8341896576,84857.2755756857,5,3,FALSE
8,4,27960,4,17382,0.531559473477535,46.8440526522465,25.0271855569694,85017.0622337278,84860.5796466668,6,6,FALSE
9,4,27960,4,17382,0.532000599299218,46.7999400700782,25.1162115882639,85001.8688874854,84838.0439525698,7,7,FALSE
5,4,27960,4,17382,0.535878640411492,46.4121359588508,26.5017657062178,85029.389446106,84872.7502519038,8,9,FALSE
6,4,27960,4,17382,0.540294621454028,45.9705378545972,26.4095500381849,85023.4054747188,84868.8272656617,9,8,FALSE
7,4,27960,4,17382,0.540723256605439,45.9276743394561,26.893535461025,85028.8675523216,84876.9523332973,10,10,FALSE
4,4,27960,4,17382,0.54404768400912,45.595231599088,27.7888454464282,85023.4622299137,84865.5803919823,11,11,FALSE
