municipio,ibge_code,year,week,date,cases,rainfall_lag,temperature_lag,fitted_mu,nb_size,nb_variance,pearson_residual,residual_direction
angra dos reis,3300100,2017,7,2017-02-13,7,66.355681,23.0792778571,15.5292484138436,0.978497577725951,261.98622673291,-0.526952577831994,overpredicted
angra dos reis,3300100,2017,8,2017-02-20,9,69.068026,21.2,18.3502459492359,0.978497577725951,362.481426304348,-0.491111558676537,overpredicted
angra dos reis,3300100,2017,9,2017-02-27,6,71.3581492,22.238961,20.3302172593329,0.978497577725951,442.730582084186,-0.681056298294909,overpredicted
angra dos reis,3300100,2017,10,2017-03-06,5,74.3711122,23.0714286,14.9305465416933,0.978497577725951,242.750446261573,-0.637372222855151,overpredicted
angra dos reis,3300100,2017,11,2017-03-13,12,52.0374096,22.3571428333,13.0593621067651,0.978497577725951,187.354058913238,-0.0773949958149911,overpredicted
angra dos reis,3300100,2017,12,2017-03-20,8,60.276175,22.878788,17.2745797375053,0.978497577725951,322.243249972688,-0.51665700837688,overpredicted
angra dos reis,3300100,2017,13,2017-03-27,3,66.021235,23.7272725,14.4205223184284,0.978497577725951,226.941706499156,-0.758104035981562,overpredicted
angra dos reis,3300100,2017,14,2017-04-03,10,44.852347,22.0545456,9.28120130121816,0.978497577725951,97.3148352667988,0.0728647965031033,underpredicted
angra dos reis,3300100,2017,15,2017-04-10,10,68.049013,20.8666666667,16.4686101215984,0.978497577725951,293.643664522371,-0.377485833976869,overpredicted
angra dos reis,3300100,2017,16,2017-04-17,14,60.612469,23,12.6792951698502,0.978497577725951,176.976611447123,0.0992768133466845,underpredicted
angra dos reis,3300100,2017,17,2017-04-24,10,56.620494,21.9384616,5.48365442480033,0.978497577725951,36.2149168572702,0.750487423796566,underpredicted
angra dos reis,3300100,2017,18,2017-05-01,14,67.5286416,21.5,15.0452001953421,0.978497577725951,246.377452896451,-0.0665884647008947,overpredicted
angra dos reis,3300100,2017,19,2017-05-08,12,50.1530864,19.1777776667,11.8532494364454,0.978497577725951,155.440239737553,0.0117705850302966,underpredicted
angra dos reis,3300100,2017,20,2017-05-15,35,36.84247,19.3214285714,12.5175398009084,0.978497577725951,172.649568979228,1.71104363092358,underpredicted
angra dos reis,3300100,2017,21,2017-05-22,12,30.5069128,22.9107694,8.71120582068451,0.978497577725951,86.2638830860552,0.354096955984029,underpredicted
angra dos reis,3300100,2017,22,2017-05-29,24,29.4161722,19.28846175,8.71265378530645,0.978497577725951,86.2911145915478,1.64569390956228,underpredicted
angra dos reis,3300100,2017,23,2017-06-05,12,29.369753,18.0833333333,6.43800381866728,0.978497577725951,48.7967118141437,0.796224262811573,underpredicted
angra dos reis,3300100,2017,24,2017-06-12,0,21.0449386,16.25,12.0601375954181,0.978497577725951,160.703243241564,-0.951349166348133,overpredicted
angra dos reis,3300100,2017,25,2017-06-19,10,21.014321,16.642857,5.18250585733994,0.978497577725951,32.6310837309634,0.843345334054142,underpredicted
angra dos reis,3300100,2017,26,2017-06-26,24,20.5640739,17.2,7.71448501905759,0.978497577725951,68.5355646660548,1.96717727496267,underpredicted
angra dos reis,3300100,2017,27,2017-07-03,7,18.0003705,17.2,5.3569181685135,0.978497577725951,34.6840957899865,0.278993448449169,underpredicted
angra dos reis,3300100,2017,28,2017-07-10,13,14.7113582,16,0.552639031791745,0.978497577725951,0.864760294441669,13.3853402028064,underpredicted
angra dos reis,3300100,2017,29,2017-07-17,4,15.6827162,16.2857142857,4.09628149830615,0.978497577725951,21.2445325469815,-0.0208890769751193,overpredicted
angra dos reis,3300100,2017,30,2017-07-24,8,9.3108638,14.2051283333,6.43869448343507,0.978497577725951,48.8064913944541,0.223485370975026,underpredicted
angra dos reis,3300100,2017,31,2017-07-31,5,12.0374078,13.8333333333,2.28233634219122,0.978497577725951,7.60586426649404,0.985420111090947,underpredicted
angra dos reis,3300100,2017,32,2017-08-07,3,12.4011116,12.4,3.47348425445903,0.978497577725951,15.8037067717333,-0.119103921197656,overpredicted
angra dos reis,3300100,2017,33,2017-08-14,7,10.5838271,11.5,1.57279825179366,0.978497577725951,4.10085186904849,2.68002549292018,underpredicted
angra dos reis,3300100,2017,34,2017-08-21,11,12.7867895,11.8,2.63190262895689,0.978497577725951,9.71103251746254,2.68530747520998,underpredicted
angra dos reis,3300100,2017,35,2017-08-28,2,14.6432096,11.2,1.83353745346891,0.978497577725951,5.26927369830078,0.0725172214510577,underpredicted
angra dos reis,3300100,2017,36,2017-09-04,2,16.6288892,10.3333333333,1.3078454861661,0.978497577725951,3.05589254792807,0.395944227522621,underpredicted
angra dos reis,3300100,2017,37,2017-09-11,7,10.7555556,10.3333333333,2.50909554166803,0.978497577725951,8.94300052061485,1.50173114461379,underpredicted
angra dos reis,3300100,2017,38,2017-09-18,1,11.702963,10.2,3.41259883503567,0.978497577725951,15.3143460380813,-0.616503981583344,overpredicted
angra dos reis,3300100,2017,39,2017-09-25,5,10.5760494,16.2,1.32310747948502,0.978497577725951,3.11219050035223,2.08424058706512,underpredicted
