municipio,ibge_code,n_observations,observed_cases,fitted_cases,pearson_residual,mean_pearson_residual,mean_deviance_residual,median_deviance_residual
angra dos reis,3300100,344,6185,10307.4238214414,-2.78939729073955,0.0333070925641471,-0.297246515044841,-0.387719311569667
aperibe,3300159,341,499,367.089673799305,2.44174771278116,-0.0680267337260642,-0.47423360337047,-0.705826050161531
araruama,3300209,316,606,606.259096671756,-0.00392020081640962,-0.000993004138690656,-0.349168156229762,-0.643946494730977
areal,3300225,344,65,62.6640687657489,0.253065262124403,-0.0494221405291847,-0.31970316504903,-0.445450285837264
armacao dos buzios,3300233,344,987,943.708545515315,0.304713360527125,-0.0457197898852281,-0.467740144254378,-0.810411048937215
arraial do cabo,3300258,316,264,263.995460433823,0.000164319755354737,-0.0230989935234298,-0.324723118790246,-0.59540451908927
barra do pirai,3300308,341,1267,1344.89332758262,-0.496880436787135,-0.00230138120780499,-0.399474519501765,-0.681122217967577
barra mansa,3300407,332,1371,1417.96560639003,-0.263402101826579,-0.0203906536788794,-0.497043012847231,-0.836507531149603
belford roxo,3300456,344,3068,4390.4208578013,-2.72289859252509,0.0269394382089806,-0.386733919604873,-0.529499455646399
bom jardim,3300506,344,50,48.27246181676,0.214128754443174,-0.0604794213463693,-0.36560910642207,-0.419975340022893
bom jesus do itabapoana,3300605,341,1583,1568.9309549582,0.0514614319242494,-0.020889185128701,-0.347538939861791,-0.648311095555755
cabo frio,3300704,316,1858,2486.19480389752,-2.09018621198277,0.035521241207902,-0.263299925152565,-0.373731316643388
cachoeiras de macacu,3300803,344,420,365.348873773362,1.07923360462359,-0.0913192144013985,-0.383361867659359,-0.605291668696764
cambuci,3300902,341,173,142.724296766064,1.60964619805554,-0.109966167679132,-0.426944199828066,-0.581160048359141
carapebus,3300936,341,373,368.490458719425,0.108606523948705,-0.0635324750472337,-0.452955805879291,-0.702160482709873
comendador levy gasparian,3300951,344,37,34.8178504996373,0.335922685367581,-0.0956374889794365,-0.294398696719164,-0.346311109265425
campos dos goytacazes,3301009,341,11823,15027.136023785,-1.43294957150111,-0.0230113419698447,-0.326256793637113,-0.369157093360125
cantagalo,3301108,344,83,80.3517766378435,0.243467616946451,-0.0594692742232035,-0.351224039846346,-0.495912915252533
cardoso moreira,3301157,341,248,261.661614229709,-0.490936641804677,0.00976651584354535,-0.330970579440829,-0.640608334901328
carmo,3301207,344,301,230.899200009718,2.60166689872201,-0.0871756313689432,-0.41603089617033,-0.641643767222898
casimiro de abreu,3301306,344,1119,1211.5759635099,-0.672865459468163,-0.0368733339315765,-0.358431890762396,-0.658126027845413
conceicao de macabu,3301405,341,177,159.213570813409,0.786252585263249,-0.0779251667345469,-0.419987277756559,-0.596543789610969
cordeiro,3301504,344,232,216.222406915408,0.676216220130301,-0.0538130828930779,-0.351658116868129,-0.576746571315859
duas barras,3301603,344,19,20.5058397982787,-0.318362544081555,-0.0460606424077526,-0.231623181844448,-0.290651556246817
duque de caxias,3301702,344,4971,7489.50957626811,-2.6552677844434,0.0340957522951691,-0.204142334856166,-0.226955514374949
engenheiro paulo de frontin,3301801,332,210,205.457475957183,0.128039649829215,-0.0592331461406959,-0.346463722779323,-0.564768669565818
guapimirim,3301850,344,457,471.484079312977,-0.255939489345014,-0.0187388449626539,-0.343208715926818,-0.59759893555493
iguaba grande,3301876,316,2139,3088.93076449118,-2.43751270899955,0.027491163176367,-0.344039919613159,-0.444059788722984
itaborai,3301900,344,6539,6459.69398484382,0.107402416485288,-0.00976501589745901,-0.24435735836727,-0.283142117857394
itaguai,3302007,332,1355,1264.52587292866,0.643026793399754,-0.0426985506387669,-0.3729285559733,-0.746286878302793
italva,3302056,341,925,962.000488476978,-0.272129071517342,-0.0275240877336875,-0.357457915864434,-0.661414876548026
itaocara,3302106,341,511,492.585199448243,0.283425430975351,-0.0346018385951187,-0.456957400099219,-0.753172367817281
itaperuna,3302205,341,5879,8735.82414328381,-2.04345219771118,0.0339014597359706,-0.273990776107026,-0.226583775168676
itatiaia,3302254,344,931,854.346963667985,0.66769895595707,0.0228704364737014,-0.368439206407728,-0.702074590417705
japeri,3302270,344,870,812.841098631058,0.510113508024318,-0.014830360514176,-0.458586640426093,-0.85461002476178
laje do muriae,3302304,341,80,72.9782389210409,0.64789507758804,-0.0867406929724875,-0.343664374004529,-0.464716822401498
macae,3302403,344,2415,3089.96259030073,-2.11171791707662,0.0427468294224421,-0.307738844812148,-0.37265568808856
macuco,3302452,344,264,162.256433701573,3.96171962456683,-0.126763887081114,-0.428715058598786,-0.546983913662128
mage,3302502,344,1035,1365.5139620986,-2.19044896979967,0.012297278358203,-0.356504094841042,-0.639048717422535
mangaratiba,3302601,341,945,981.433783376648,-0.298883613060966,-0.00233316875471011,-0.351999535981428,-0.681859440679198
marica,3302700,344,2025,2139.93469202042,-0.543043067892608,0.0114517618229468,-0.313245527410031,-0.292856931367634
mendes,3302809,332,193,122.450468596244,3.09044384357132,-0.143853019802577,-0.373112854579032,-0.491912618677615
mesquita,3302858,338,358,323.072785119228,1.08960180725671,-0.0346772148308855,-0.324019947232241,-0.69548473096409
miguel pereira,3302908,344,227,205.43217630018,0.731674342141693,-0.0641715987266892,-0.356180118709555,-0.554689750424072
miracema,3303005,341,966,738.312587694624,1.75032309904102,-0.08854517821297,-0.521044885231337,-0.755935116700719
natividade,3303104,341,1188,1186.36723544283,0.00758595565741146,-0.0558697606379423,-0.478715054688786,-0.760270508079424
nilopolis,3303203,344,104,113.389617576239,-0.637490297643273,-0.00894729920939355,-0.298659738075564,-0.522448528829019
niteroi,3303302,344,4049,4329.56646727505,-0.584866281582837,0.0139928086306636,-0.302097276704486,-0.285196083592462
nova friburgo,3303401,344,3333,4814.62973546677,-3.43623429710395,0.033159976342942,-0.145526327678658,-0.18408760169471
nova iguacu,3303500,344,4383,6564.04738689673,-2.9488345897043,0.0239156497448029,-0.187189335705867,-0.204386134649234
paracambi,3303609,332,244,273.571167928005,-0.704310208021103,-0.00769975768355957,-0.382976379685855,-0.686423641764725
paraiba do sul,3303708,344,227,253.811762612827,-0.65446882127226,-0.0786021454388212,-0.494468109325363,-0.669309273697629
paraty,3303807,344,5066,7727.03446906652,-1.98743773130841,0.00203598369481258,-0.339406984594844,-0.4242331449255
paty do alferes,3303856,344,364,330.125998038925,0.937652280564236,-0.0426517049087397,-0.385700781017553,-0.662857952251698
petropolis,3303906,344,1296,1362.83280417539,-0.42389303320741,-0.00662177658406063,-0.287119988812983,-0.502605829356443
