municipio,ibge_code,is_isolated,spatial_effect_mean,spatial_effect_sd,spatial_effect_q025,spatial_effect_q975,residual_spatial_rr,residual_spatial_rr_q025,residual_spatial_rr_q975
angra dos reis,3300100,FALSE,0.8503046720375,0.109065137176354,0.634749894606533,1.0639365924561,2.34035978549935,1.88655024605782,2.89775584960512
aperibe,3300159,FALSE,0.230764055977039,0.119213789759056,-0.00538047616621281,0.463170728842014,1.25956201825707,0.994633972670187,1.58910462525003
araruama,3300209,FALSE,0.0614289576977454,0.114331755527684,-0.164857719585803,0.28466307715418,1.06335495066155,0.848014351337996,1.32931407638152
areal,3300225,FALSE,-1.29452008415809,0.164833204777323,-1.61920629865585,-0.9723482790405,0.27402934380262,0.198055833897891,0.378193889743235
armacao dos buzios,3300233,FALSE,-0.146560777098845,0.121137984121996,-0.385729826011954,0.0904580759725379,0.86367323918576,0.679954206806014,1.09467561346914
arraial do cabo,3300258,FALSE,-0.5388934463363,0.133654341644066,-0.802541320676524,-0.277433863280045,0.583393451495559,0.448188524854864,0.757725676436705
barra do pirai,3300308,FALSE,0.347321404420213,0.118117852699022,0.114473654131155,0.579106878502189,1.41527152680343,1.12128309949734,1.78444399355071
barra mansa,3300407,FALSE,0.418564942357011,0.115608511657895,0.19049954146693,0.645253693967362,1.51977901946306,1.20985381887936,1.90647062802357
belford roxo,3300456,TRUE,1.93839976221523,0.113755182657783,1.71248929256559,2.15997811434766,6.94762421949746,5.54274182486775,8.67094788703594
bom jardim,3300506,FALSE,0.500977133357736,0.360482369834468,-0.211025046214282,1.20601137698575,1.65033307859873,0.809753785360466,3.34013550653917
bom jesus do itabapoana,3300605,FALSE,-0.11119997219724,0.121141634456757,-0.350307383006309,0.126020729558888,0.894759803953619,0.704471513862759,1.13430568169574
cabo frio,3300704,FALSE,0.531787724337673,0.119682844712372,0.295973953562165,0.766759750020285,1.70197224773167,1.34443513862974,2.15277939691935
cachoeiras de macacu,3300803,FALSE,-0.427372036174296,0.118108861679677,-0.661755691200725,-0.197595973923905,0.652220857332501,0.515944699270278,0.820701370916945
cambuci,3300902,FALSE,-0.583859455738013,0.132971781792661,-0.847247508972925,-0.325009245109212,0.557741628197115,0.428593008292257,0.722520673828657
campos dos goytacazes,3301009,FALSE,1.10939374844003,0.102434916564843,0.906998511961667,1.31033683215304,3.03251936743835,2.47687704837425,3.70742228094848
cantagalo,3301108,FALSE,-0.111920350068876,0.205051054954822,-0.517552365996987,0.287869754810073,0.894115470899923,0.595977498992956,1.3335835999623
carapebus,3300936,FALSE,-0.32784183348171,0.117631271042506,-0.5605171035594,-0.098205689196309,0.720476966027042,0.570913765965111,0.90646243504753
cardoso moreira,3301157,FALSE,0.477342938889299,0.16324521548793,0.15339741748202,0.794918662028814,1.61178609341901,1.16578819149989,2.21426088599111
carmo,3301207,FALSE,0.107706271351884,0.121387487312596,-0.132435950132869,0.344527084248672,1.11372056570165,0.875959037369437,1.41132232526433
casimiro de abreu,3301306,FALSE,0.0695986275706278,0.114388187014581,-0.156259239519217,0.293650303534477,1.07207779241887,0.855337424364344,1.34131476861058
comendador levy gasparian,3300951,FALSE,-1.29701659943826,0.195209631329231,-1.68026651736128,-0.914507538365658,0.273346078604482,0.186324310757728,0.400713913737396
conceicao de macabu,3301405,FALSE,-0.883014691135093,0.131409480783437,-1.14243592934836,-0.626356721846796,0.413534352270854,0.319040913368259,0.534535720048756
cordeiro,3301504,FALSE,-0.618025599463708,0.130948143118356,-0.876345919842816,-0.361836510645107,0.539007604594129,0.416301334217991,0.696396211902805
duas barras,3301603,FALSE,-1.55575448776292,0.251383625206692,-2.04961686184612,-1.06353427665085,0.211030102930962,0.128784236291122,0.345233500911209
duque de caxias,3301702,FALSE,1.11592072102885,0.100371410792426,0.91689982079509,1.31216959592524,3.05237727373194,2.50152318613315,3.71422334065743
engenheiro paulo de frontin,3301801,FALSE,-1.0229794194307,0.137062210431774,-1.29310570080501,-0.754894351497881,0.359522175503239,0.274417200569169,0.470060273271093
guapimirim,3301850,FALSE,-0.199760898921158,0.115613191050715,-0.429220915165676,0.0252146242748641,0.818926535889332,0.651016093965671,1.02553520165521
iguaba grande,3301876,FALSE,0.175178430718638,0.152510982110628,-0.124502429752538,0.475175251079735,1.19145879049515,0.882936116047513,1.60829602840499
itaborai,3301900,FALSE,1.54708858403036,0.103984919402861,1.34001072184618,1.74933255448443,4.6977730817149,3.81908445278286,5.75076307376096
itaguai,3302007,FALSE,0.547325628528639,0.107492956103551,0.334540183781671,0.757463833829898,1.72862384826241,1.39729773732237,2.13286006771891
italva,3302056,FALSE,0.428988312490031,0.113589017489592,0.202959649024828,0.649680800954068,1.53570308574734,1.22502303637607,1.91492948778379
itaocara,3302106,FALSE,0.0218482074685557,0.11367236795825,-0.203107990170902,0.243819158897431,1.02208862727479,0.816190096158312,1.27611353584268
itaperuna,3302205,FALSE,0.836420898565856,0.112474867944557,0.614798560445563,1.05743711640792,2.30809128302047,1.84928404308212,2.87898302770554
itatiaia,3302254,FALSE,-0.373404176198446,0.130184371626689,-0.629992991469171,-0.118342280134367,0.688386946990191,0.532595533706035,0.888391921662277
japeri,3302270,FALSE,1.36735485669297,0.142961489732853,1.08374929547052,1.64570434056157,3.92495488418431,2.95574074765815,5.18466038781583
laje do muriae,3302304,FALSE,-0.628973171168416,0.169001684824688,-0.962849396060433,-0.299443483751086,0.533138962496157,0.381803425383721,0.741230612799833
macae,3302403,FALSE,0.290672056919408,0.155716549674207,-0.014809114129653,0.597568082751213,1.33732594523946,0.985300001501652,1.81769294209236
macuco,3302452,FALSE,-0.784738303465048,0.131134014104017,-1.04415634851499,-0.52914748880656,0.456239082351179,0.351988649896899,0.589106975956102
mage,3302502,FALSE,0.935218496297834,0.10836969966677,0.720696341540157,1.14695795803324,2.54777007525654,2.05586429603421,3.14860015250197
mangaratiba,3302601,FALSE,-0.142826434682662,0.145173374597033,-0.428153498421803,0.142553308221179,0.866904520396714,0.651711370453769,1.15321455513539
marica,3302700,TRUE,0.605065756526126,0.160178623998492,0.291329419731013,0.9211007407546,1.83137262962867,1.33820534259275,2.51205398885757
mendes,3302809,FALSE,-1.60275245651112,0.154910573804207,-1.90780668521496,-1.29963862116541,0.201341570693643,0.14840552993726,0.27263029805351
mesquita,3302858,TRUE,1.48060887010528,0.160688115705245,1.16294811140182,1.79412734822997,4.39562122866585,3.19935143084183,6.01422410784859
miguel pereira,3302908,FALSE,-1.32695452353254,0.151543014566019,-1.62518483658244,-1.02998693180712,0.26528394832497,0.1968752820866,0.357011626035453
miracema,3303005,FALSE,0.0815096489030655,0.110728631227205,-0.137880974565014,0.29759357134472,1.08492368585697,0.871202380817195,1.34661437397555
natividade,3303104,FALSE,0.55759566635903,0.124938424996505,0.30869576108461,0.799962690863542,1.74646835561784,1.36164804115588,2.2254578970312
nilopolis,3303203,FALSE,-1.35384152852453,0.170473213094812,-1.6886222599895,-1.01926549286058,0.25824629219136,0.184773919128851,0.360859897025513
niteroi,3303302,FALSE,-0.329836321735744,0.280512313543467,-0.879097080642567,0.223976498639797,0.719041415251462,0.415157596331227,1.25104161790318
nova friburgo,3303401,FALSE,0.554290735202853,0.128497718855527,0.301973415095093,0.807475852094475,1.74070592539871,1.35252526947585,2.24224108949222
nova iguacu,3303500,FALSE,1.13042227075272,0.100719911329763,0.930952141131764,1.32759971035502,3.09696398136129,2.53692353727787,3.77197867160242
paracambi,3303609,FALSE,-0.432063845229207,0.126196872673885,-0.681404644583218,-0.185610579916852,0.649167929086819,0.505905875101924,0.830596983157165
paraiba do sul,3303708,FALSE,-0.385274436455027,0.12254281097301,-0.627966671675921,-0.146523025769981,0.680263921366018,0.533675836727836,0.863705844613689
paraty,3303807,FALSE,0.874043357731257,0.106433538045284,0.661946857776275,1.08076447311735,2.39658152579617,1.93856276896275,2.94693154010439
paty do alferes,3303856,FALSE,0.0233849099105303,0.134278949094287,-0.243617384361246,0.284059248034993,1.02366048079048,0.783787466241046,1.32851164012523
petropolis,3303906,FALSE,-0.175049931284691,0.13297387555502,-0.436758594319099,0.086121038431527,0.839415106648139,0.646127391407924,1.08993824473709
pinheiral,3303955,FALSE,0.172373871272557,0.112557574277459,-0.0503542739904655,0.392229069477124,1.18812195485379,0.95089248834403,1.48027675879124
pirai,3304003,FALSE,0.80118992689799,0.102954654835984,0.596708181076428,1.00194609770215,2.22819073573165,1.81613057672378,2.72357702128929
porciuncula,3304102,FALSE,0.556607534715666,0.107253975261966,0.343081926797027,0.76502651968741,1.74474346732023,1.40928421533889,2.14905136606998
porto real,3304110,FALSE,-0.231466538920824,0.123035460474824,-0.47431306491621,0.00905854413277432,0.793369242050008,0.622312397889495,1.00909969691124
quatis,3304128,FALSE,0.156011162907142,0.12303522294157,-0.0877939161254363,0.395646671506519,1.16883925066106,0.915949619720751,1.48534441032171
queimados,3304144,TRUE,0.588532845270835,0.136163636485609,0.319540406297258,0.854362156451503,1.80134362589498,1.37649499050817,2.34987504981621
quissama,3304151,FALSE,0.118818125728827,0.110653175906924,-0.100741989941771,0.334382620766987,1.12616507920844,0.904166286789947,1.39707759222229
resende,3304201,FALSE,0.55601083364705,0.160890935555863,0.240457690678442,0.87316412853314,1.74370268757689,1.27183112237892,2.39447530740306
rio bonito,3304300,FALSE,-0.492607692381986,0.120956047850457,-0.732014461551723,-0.256749488648985,0.611030934141899,0.480939180108658,0.773561975550261
rio claro,3304409,FALSE,-1.7041627367243,0.199090540199751,-2.09692580694207,-1.31581621264064,0.181924641248745,0.122833462195246,0.268255280507805
rio das flores,3304508,FALSE,-0.731627857055427,0.166922246975527,-1.0603446828244,-0.405298371331706,0.481125149304081,0.346336413541015,0.666777833785205
rio das ostras,3304524,FALSE,0.281748903548226,0.168602733782518,-0.0487837628641397,0.61426549130694,1.32544586344566,0.952387048881696,1.8482985095323
rio de janeiro,3304557,FALSE,0.757713367103052,0.211909341331027,0.343525103442431,1.17681512851443,2.13339235368155,1.40990891560592,3.24402592699914
santa maria madalena,3304607,FALSE,-2.60007903301543,0.317744016181156,-3.23123623817134,-1.98471677201188,0.0742677083814391,0.0395086265135438,0.137419529662624
santo antonio de padua,3304706,FALSE,0.394291592736466,0.109309617070907,0.178033421871797,0.608062176632397,1.48333301475257,1.19486525520084,1.83686842113624
sao fidelis,3304805,FALSE,-0.353779028300892,0.131510927154843,-0.614232625137161,-0.0976956948268043,0.702030078996502,0.541055928764954,0.906924843688451
sao francisco de itabapoana,3304755,FALSE,1.08084696472335,0.16868783025884,0.745549751301072,1.40868980738244,2.94717464724691,2.10759977226978,4.0905924275722
sao goncalo,3304904,FALSE,1.05190405624068,0.121317525489585,0.81376933699171,1.29109226290646,2.86309742990479,2.25639709851522,3.63675668157063
sao joao da barra,3305000,FALSE,-0.621953948107582,0.155601250107283,-0.929604120578818,-0.318704172105487,0.536894348322921,0.394709936987499,0.727090611178744
sao joao de meriti,3305109,TRUE,1.12001190082455,0.111746888804804,0.899621219564964,1.33914433054004,3.06489067780217,2.45867163804352,3.81577706416884
sao jose de uba,3305133,FALSE,0.25421035215484,0.157615197657039,-0.0585632357236419,0.560828877769134,1.28944301285845,0.943118599726842,1.7521241953684
sao jose do vale do rio preto,3305158,FALSE,-1.3462903296524,0.243187937994976,-1.82388136859775,-0.869925115499035,0.260203742548911,0.161398088155457,0.418982923400037
sao pedro da aldeia,3305208,FALSE,0.461267943216757,0.107147169422089,0.248795779699274,0.670330628630518,1.58608377473897,1.28248009785322,1.95488355427075
sao sebastiao do alto,3305307,FALSE,-1.1934107382071,0.221205272422936,-1.6301926676169,-0.762063696035832,0.303185412491396,0.195891828479081,0.466702300832254
sapucaia,3305406,FALSE,1.64152082233361,0.254706528917122,1.13747598472206,2.13863742719645,5.16301557388308,3.11888630546592,8.48786441279289
saquarema,3305505,FALSE,0.958393917031669,0.101797003923045,0.755882667207903,1.15660784583665,2.60750523883489,2.12949032533459,3.17913086275688
seropedica,3305554,FALSE,0.159267266136516,0.111454586333347,-0.0616690766950827,0.376584838439818,1.1726513147889,0.940193967411296,1.45729916916772
silva jardim,3305604,FALSE,-1.67832333075545,0.235249129218154,-2.14190026029288,-1.21889666154556,0.186686725668595,0.117431480486013,0.295556085486269
sumidouro,3305703,FALSE,0.334759160380533,0.231105414169048,-0.122190405204302,0.785687812127119,1.39760374633167,0.884979847690814,2.19391542353154
tangua,3305752,FALSE,0.736582487132903,0.159275723341395,0.421226521201804,1.04695023611641,2.08878485360239,1.52382941898778,2.84894923298354
teresopolis,3305802,FALSE,-1.18507757754768,0.144521589613613,-1.47022518302583,-0.902726573055665,0.305722461379903,0.229873715699277,0.405462627748725
