municipio,ibge_code,temperature_effect_mean,temperature_effect_q025,temperature_effect_q975,temperature_relative_risk,temperature_relative_risk_q025,temperature_relative_risk_q975
angra dos reis,3300100,0.0211603309706836,-0.14837527640075,0.191095064730483,1.02138579828683,0.862107525618851,1.21057452955269
aperibe,3300159,0.196712421713659,-0.0726762183429481,0.467339050585768,1.21739389431114,0.929901866455342,1.59574234908604
araruama,3300209,-0.30210087826399,-0.545592789765553,-0.0591783387871491,0.739263485510826,0.579498160923031,0.942538662965624
areal,3300225,0.220569931045491,-0.137672387245915,0.58237628639856,1.24678711081585,0.871384121539948,1.79028761622169
armacao dos buzios,3300233,0.470784292592507,0.231142519526034,0.712271826651251,1.60124954902994,1.26003880678653,2.0386173870878
arraial do cabo,3300258,0.237937429881517,-0.0456753186680426,0.523191472524261,1.26862981202385,0.955352096831814,1.68740436999178
barra do pirai,3300308,0.0803452786623917,-0.145025075270559,0.306272351803908,1.08366116816541,0.865000602714649,1.35835220584784
barra mansa,3300407,0.224978599579029,0.0121904705853864,0.438623363976201,1.25229591624531,1.01226507722706,1.5505711764335
belford roxo,3300456,0.000157298691999819,-0.210579029545763,0.211307912576054,1.00015731106409,0.810115029600621,1.23529265865297
bom jardim,3300506,0.641467860295275,0.26144249502411,1.03685721386346,1.89926669238044,1.29880225183224,2.82033934795218
bom jesus do itabapoana,3300605,-0.0549868675211567,-0.294106909095155,0.18430602881998,0.946497577731282,0.745196818866886,1.20238373087256
cabo frio,3300704,0.12403571506294,-0.106766257612198,0.35552405420375,1.13205630173925,0.898735721074226,1.42692824612088
cachoeiras de macacu,3300803,-0.0949298154339563,-0.33371885966989,0.143913128433036,0.909436760652789,0.716255122124977,1.15478378629038
cambuci,3300902,0.496050304320786,0.177383129945061,0.820583707876575,1.64222216661157,1.19408849655915,2.27182553304315
campos dos goytacazes,3301009,-0.143934321522771,-0.340181616567681,0.0525023426429468,0.865944620115564,0.711641065217623,1.05390503099883
cantagalo,3301108,0.232253239991918,-0.083612732936134,0.55045970739193,1.26143913521979,0.91978739049321,1.73404999026481
carapebus,3300936,0.28596891571881,0.0219204729380689,0.551660497950906,1.33105107984319,1.02216249165821,1.73613347178403
cardoso moreira,3301157,0.134048726610074,-0.13980275696315,0.408797043043007,1.14344853465812,0.869529727169489,1.50500623800039
carmo,3301207,0.284079179836445,0.0351386901973938,0.534380106587523,1.32853812001936,1.03576334906198,1.70639013432764
casimiro de abreu,3301306,-0.0169529144592133,-0.229906277021289,0.196372520279963,0.983189977576827,0.794608072048946,1.2169801706977
comendador levy gasparian,3300951,-0.253748319745286,-0.621274163734284,0.107971132918385,0.775887052926159,0.5372594447904,1.11401558654345
conceicao de macabu,3301405,0.332843849259743,0.037161692699622,0.631354788295848,1.39492946219447,1.0378608217898,1.88015606801113
cordeiro,3301504,0.129756037355256,-0.130164686247256,0.390476214183058,1.13855058562782,0.877950832586316,1.4776843205862
duas barras,3301603,0.322641125926059,-0.0930149185242634,0.749485275082189,1.38076973951832,0.911179906735196,2.11591062434584
duque de caxias,3301702,-0.201493085490817,-0.397627834884648,-0.00523676885220811,0.817509230215635,0.671912043358687,0.994776919117796
engenheiro paulo de frontin,3301801,0.123782423131464,-0.141390020093448,0.389770474194755,1.13176959732353,0.868150649461992,1.47664182757884
guapimirim,3301850,-0.0611689304106401,-0.309415870209745,0.187138581922244,0.940664319543383,0.733875509594202,1.20579437477414
iguaba grande,3301876,0.073066534755003,-0.157269643667096,0.303951344419336,1.07580211276354,0.854473624349977,1.35520311629097
itaborai,3301900,-0.123105207008495,-0.31859323294302,0.0726287311977108,0.884170636719733,0.727171278476685,1.07533122585713
itaguai,3302007,-0.0388041909289641,-0.245103459526858,0.167853123170579,0.961939047097831,0.782623564189513,1.18276287742804
italva,3302056,0.046124302629338,-0.184251660274037,0.27701314013371,1.04720457314892,0.831726464976541,1.31918370517135
itaocara,3302106,0.0603666770876115,-0.206916373780914,0.328153192080471,1.06222596906956,0.813087642589885,1.38840164813588
itaperuna,3302205,-0.102354178278163,-0.313999098789596,0.109508498085845,0.902709774849481,0.73051968651107,1.11572955246038
itatiaia,3302254,-0.0144401018706616,-0.217297177267254,0.18881328709002,0.985663656373416,0.804690797956297,1.20781541669717
japeri,3302270,0.325120711477674,0.0887512004126257,0.562843445418196,1.38419772444912,1.09280873213878,1.75565752596129
laje do muriae,3302304,0.321172547296441,-0.0194360944763471,0.666422904479225,1.37874345882687,0.980751568628622,1.94725931500676
macae,3302403,0.0551400095491863,-0.157590087383722,0.268374680074202,1.05668855080665,0.854199857511805,1.30783706871589
macuco,3302452,0.579858720700613,0.231385906096387,0.938813303675454,1.78578611831558,1.26034552063373,2.55694529962099
mage,3302502,-0.174326179654184,-0.40395079314558,0.0552386815288508,0.840022854603006,0.66767697474431,1.05679282150206
mangaratiba,3302601,0.038941508753797,-0.197830059020267,0.276155674376964,1.03970966795741,0.820509279441202,1.318053035142
marica,3302700,-0.126266151868234,-0.335502715773889,0.0831576075099177,0.881380234567506,0.714978564988989,1.08671306919273
mendes,3302809,0.271729793224299,-0.0320289503721413,0.57801997248971,1.31223237932245,0.968478543859085,1.78250552430296
mesquita,3302858,0.0778712939520023,-0.129671674763705,0.286030680523567,1.08098352059943,0.878383779143817,1.33113329449222
miguel pereira,3302908,0.416292012739375,0.113737294287533,0.722786720682355,1.51632859149289,1.12045773556926,2.06016632674893
miracema,3303005,0.474969686505883,0.228977293566954,0.723079885014937,1.60796545369567,1.25731348958114,2.0607703825746
natividade,3303104,-0.0542844895937499,-0.277905107992646,0.169598455173138,0.947162610262969,0.757368686339537,1.18482899383451
nilopolis,3303203,0.0789699259466499,-0.225335966120981,0.383857111806889,1.08217177628919,0.798247989423328,1.46793567601948
niteroi,3303302,-0.0667101124875788,-0.269682687298259,0.136577865163472,0.935466342045574,0.76362176278205,1.14634413457416
nova friburgo,3303401,-0.284316788337964,-0.478957946967089,-0.08966603636062,0.752528214779849,0.619428532993574,0.914236456027833
nova iguacu,3303500,-0.149236791909295,-0.353424811896713,0.0551228628309806,0.861365126455611,0.702278793613508,1.05667043222117
paracambi,3303609,-0.143096238174564,-0.390031642958761,0.103684392510665,0.86667065807982,0.677035450754364,1.10925031195862
paraiba do sul,3303708,-0.187288068885186,-0.457101702272332,0.0818457974096483,0.829204833864782,0.633115947457872,1.08528844263652
paraty,3303807,0.0230823462426731,-0.147432516397693,0.194022386229921,1.02335080517143,0.862920669351806,1.21412346229899
paty do alferes,3303856,0.267686579749082,0.00227249357844179,0.534641061860565,1.3069374551514,1.00227507764903,1.7068354839367
petropolis,3303906,-0.146724368549319,-0.365951145982134,0.072593631794467,0.863531961184078,0.693536682435606,1.0752934830352
pinheiral,3303955,0.139001887610962,-0.0889827159701098,0.367736371078675,1.1491262691049,0.914861385929341,1.44446118702966
pirai,3304003,-0.173365390252659,-0.365432403076427,0.0188855789785096,0.840830327502333,0.693896542998955,1.01906503948348
porciuncula,3304102,0.129420110306117,-0.098592396336112,0.358142799898065,1.13816817992311,0.906111967320487,1.43066990541027
porto real,3304110,0.0301920875812507,-0.190408198526998,0.251244972917255,1.03065249048442,0.826621639330088,1.28562498906212
quatis,3304128,0.297287731522183,0.0687715106237961,0.526987796694914,1.34620258864777,1.07119142532359,1.69382247889002
queimados,3304144,0.196629137643611,-0.0528945092884713,0.447164383751654,1.21729250901472,0.948480063041724,1.56387135319824
quissama,3304151,0.0642443952509108,-0.171861440833986,0.30088868297406,1.06635297852173,0.842095845183338,1.35105893730412
resende,3304201,-0.0607367750324367,-0.227599265378218,0.106440393061754,0.941070920539233,0.796443358322246,1.11231162297941
rio bonito,3304300,-0.110771122514727,-0.386458696155184,0.164436832484451,0.895143603701787,0.679458789055445,1.17872910981054
rio claro,3304409,-0.0369987995724441,-0.386423236431935,0.311109988726845,0.963677292173136,0.679482882903242,1.3649393408706
rio das flores,3304508,0.264121461454987,-0.068873877842504,0.600483171394695,1.30228636429166,0.933444400676174,1.82299940879786
rio das ostras,3304524,-0.013428747978714,-0.21565110740017,0.18918558283574,0.986661015404899,0.806016466002915,1.2082651649529
rio de janeiro,3304557,-0.128667525772057,-0.319987121262213,0.0628899326710729,0.879266250322046,0.726158389016954,1.06490962102294
santa maria madalena,3304607,0.0238809755647731,-0.431015780839264,0.477339227817773,1.0241684095692,0.649848655536653,1.61178011197663
