date,year,week,total_cases,municipalities,rolling_4wk_cases
2017-01-02,2017,1,604,92,574.0
2017-01-09,2017,2,544,92,601.3333333333334
2017-01-16,2017,3,656,92,626.0
2017-01-23,2017,4,700,92,631.25
2017-01-30,2017,5,625,92,656.5
2017-02-06,2017,6,645,92,642.0
2017-02-13,2017,7,598,92,568.5
2017-02-20,2017,8,406,92,539.25
2017-02-27,2017,9,508,92,513.0
2017-03-06,2017,10,540,92,508.25
2017-03-13,2017,11,579,92,543.25
2017-03-20,2017,12,546,92,542.75
2017-03-27,2017,13,506,92,529.25
2017-04-03,2017,14,486,92,482.75
2017-04-10,2017,15,393,92,461.0
2017-04-17,2017,16,459,92,449.25
2017-04-24,2017,17,459,92,438.75
2017-05-01,2017,18,444,92,432.0
2017-05-08,2017,19,366,92,418.75
2017-05-15,2017,20,406,92,376.0
2017-05-22,2017,21,288,92,356.25
2017-05-29,2017,22,365,92,365.0
2017-06-05,2017,23,401,92,322.0
2017-06-12,2017,24,234,92,319.0
2017-06-19,2017,25,276,92,283.75
2017-06-26,2017,26,224,92,243.5
2017-07-03,2017,27,240,92,237.25
2017-07-10,2017,28,209,92,212.75
2017-07-17,2017,29,178,92,198.0
2017-07-24,2017,30,165,92,185.25
2017-07-31,2017,31,189,92,164.0
2017-08-07,2017,32,124,92,153.5
2017-08-14,2017,33,136,92,145.25
2017-08-21,2017,34,132,92,131.0
2017-08-28,2017,35,132,92,127.25
2017-09-04,2017,36,109,92,126.0
2017-09-11,2017,37,131,92,131.25
2017-09-18,2017,38,153,92,129.0
2017-09-25,2017,39,123,92,142.75
2017-10-02,2017,40,164,92,148.0
2017-10-09,2017,41,152,92,151.5
2017-10-16,2017,42,167,92,156.5
2017-10-23,2017,43,143,92,152.25
2017-10-30,2017,44,147,92,163.0
2017-11-06,2017,45,195,92,171.25
2017-11-13,2017,46,200,92,181.25
2017-11-20,2017,47,183,92,195.25
2017-11-27,2017,48,203,92,210.75
2017-12-04,2017,49,257,92,233.25
2017-12-11,2017,50,290,92,245.0
2017-12-18,2017,51,230,92,249.75
2017-12-25,2017,52,222,92,287.5
2018-01-01,2018,1,408,92,320.75
2018-01-08,2018,2,423,92,432.25
2018-01-15,2018,3,676,92,523.75
2018-01-22,2018,4,588,92,566.75
2018-01-29,2018,5,580,92,596.5
2018-02-05,2018,6,542,92,577.25
2018-02-12,2018,7,599,92,635.25
2018-02-19,2018,8,820,92,700.0
2018-02-26,2018,9,839,92,830.5
2018-03-05,2018,10,1064,92,964.25
2018-03-12,2018,11,1134,92,1030.75
2018-03-19,2018,12,1086,92,1080.25
2018-03-26,2018,13,1037,92,1149.25
2018-04-02,2018,14,1340,92,1191.25
2018-04-09,2018,15,1302,92,1176.5
2018-04-16,2018,16,1027,92,1126.75
2018-04-23,2018,17,838,92,1046.0
2018-04-30,2018,18,1017,92,930.5
2018-05-07,2018,19,840,92,866.5
2018-05-14,2018,20,771,92,792.0
2018-05-21,2018,21,540,92,647.0
2018-05-28,2018,22,437,92,538.0
2018-06-04,2018,23,404,92,448.0
2018-06-11,2018,24,411,92,396.0
2018-06-18,2018,25,332,92,373.5
2018-06-25,2018,26,347,92,382.75
2018-07-02,2018,27,441,92,364.25
2018-07-09,2018,28,337,92,364.25
2018-07-16,2018,29,332,92,348.75
2018-07-23,2018,30,285,92,287.0
2018-07-30,2018,31,194,92,261.75
2018-08-06,2018,32,236,92,220.75
2018-08-13,2018,33,168,92,192.25
2018-08-20,2018,34,171,92,183.25
2018-08-27,2018,35,158,92,150.5
2018-09-03,2018,36,105,92,140.25
2018-09-10,2018,37,127,92,130.5
2018-09-17,2018,38,132,92,121.0
2018-09-24,2018,39,120,92,135.0
2018-10-01,2018,40,161,92,135.0
2018-10-08,2018,41,127,92,143.0
2018-10-15,2018,42,164,92,149.75
2018-10-22,2018,43,147,92,154.0
2018-10-29,2018,44,178,92,168.5
2018-11-05,2018,45,185,92,170.0
2018-11-12,2018,46,170,92,193.5
2018-11-19,2018,47,241,92,214.5
2018-11-26,2018,48,262,92,247.75
2018-12-03,2018,49,318,92,290.0
2018-12-10,2018,50,339,92,307.5
2018-12-17,2018,51,311,92,325.0
2018-12-24,2018,52,332,92,361.75
2018-12-31,2019,1,465,92,407.25
2019-01-07,2019,2,521,92,466.75
2019-01-14,2019,3,549,92,534.0
2019-01-21,2019,4,601,92,564.0
2019-01-28,2019,5,585,92,579.5
2019-02-04,2019,6,583,92,579.5
2019-02-11,2019,7,549,92,570.0
2019-02-18,2019,8,563,92,581.0
2019-02-25,2019,9,629,92,648.25
2019-03-04,2019,10,852,92,792.75
2019-03-11,2019,11,1127,92,1046.75
2019-03-18,2019,12,1579,92,1355.0
2019-03-25,2019,13,1862,92,1767.25
2019-04-01,2019,14,2501,92,2106.5
2019-04-08,2019,15,2484,92,2423.25
2019-04-15,2019,16,2846,92,2738.5
2019-04-22,2019,17,3123,92,2991.75
2019-04-29,2019,18,3514,92,3333.75
2019-05-06,2019,19,3852,92,3475.5
2019-05-13,2019,20,3413,92,3465.0
2019-05-20,2019,21,3081,92,3202.75
2019-05-27,2019,22,2465,92,2695.5
2019-06-03,2019,23,1823,92,2224.25
2019-06-10,2019,24,1528,92,1773.5
2019-06-17,2019,25,1278,92,1425.5
2019-06-24,2019,26,1073,92,1231.75
2019-07-01,2019,27,1048,92,1003.0
2019-07-08,2019,28,613,92,812.75
2019-07-15,2019,29,517,92,635.0
2019-07-22,2019,30,362,92,459.25
2019-07-29,2019,31,345,92,384.5
2019-08-05,2019,32,314,92,331.25
2019-08-12,2019,33,304,92,293.0
2019-08-19,2019,34,209,92,254.75
2019-08-26,2019,35,192,92,233.75
2019-09-02,2019,36,230,92,204.25
2019-09-09,2019,37,186,92,197.5
