date,year,week,total_cases,municipalities,state_population,incidence_per_100k,rolling_4wk_incidence_per_100k
2017-01-02,2017,1,604,92,17195818.0,3.5124819301995407,3.3380209071763844
2017-01-09,2017,2,544,92,17195818.0,3.163559884153228,3.4969742837085938
2017-01-16,2017,3,656,92,17195818.0,3.814881036773011,3.640420013749855
2017-01-23,2017,4,700,92,17195818.0,4.070757203873639,3.670950692778907
2017-01-30,2017,5,625,92,17195818.0,3.6346046463157493,3.8177887204900633
2017-02-06,2017,6,645,92,17195818.0,3.7509119949978533,3.7334658926955377
2017-02-13,2017,7,598,92,17195818.0,3.477589725594909,3.3060363862888056
2017-02-20,2017,8,406,92,17195818.0,2.3610391782467106,3.1359368888412287
2017-02-27,2017,9,508,92,17195818.0,2.9542066565254412,2.9832834936959673
2017-03-06,2017,10,540,92,17195818.0,3.1402984144168076,2.955660498383968
2017-03-13,2017,11,579,92,17195818.0,3.36709774434691,3.1591983585776493
2017-03-20,2017,12,546,92,17195818.0,3.1751906190214387,3.156290674860597
2017-03-27,2017,13,506,92,17195818.0,2.9425759216572307,3.0777832145001764
2017-04-03,2017,14,486,92,17195818.0,2.826268572975127,2.8073686288142854
2017-04-10,2017,15,393,92,17195818.0,2.2854394016033432,2.680884387122497
2017-04-17,2017,16,459,92,17195818.0,2.6692536522542865,2.612553819771761
2017-04-24,2017,17,459,92,17195818.0,2.6692536522542865,2.5514924617136563
2017-05-01,2017,18,444,92,17195818.0,2.5820231407427086,2.5122387315334462
2017-05-08,2017,19,366,92,17195818.0,2.128424480882503,2.4351851130315523
2017-05-15,2017,20,406,92,17195818.0,2.3610391782467106,2.186578155223555
2017-05-22,2017,21,288,92,17195818.0,1.6748258210222975,2.0717246483999774
2017-05-29,2017,22,365,92,17195818.0,2.122609113448398,2.122609113448398
2017-06-05,2017,23,401,92,17195818.0,2.331962341076185,1.8725483137818741
2017-06-12,2017,24,234,92,17195818.0,1.3607959795806166,1.8551022114795588
2017-06-19,2017,25,276,92,17195818.0,1.605041411813035,1.6501105094273503
2017-06-26,2017,26,224,92,17195818.0,1.3026423052395646,1.416041970204616
2017-07-03,2017,27,240,92,17195818.0,1.3956881841852478,1.3796959237414586
2017-07-10,2017,28,209,92,17195818.0,1.2154117937279867,1.2372194216058812
2017-07-17,2017,29,178,92,17195818.0,1.0351354032707256,1.1514427519528294
2017-07-24,2017,30,165,92,17195818.0,0.9595356266273578,1.0772968171679882
2017-07-31,2017,31,189,92,17195818.0,1.0991044450458827,0.9537202591932527
2017-08-07,2017,32,124,92,17195818.0,0.7211055618290447,0.8926589011351481
2017-08-14,2017,33,136,92,17195818.0,0.790889971038307,0.8446821198037802
